"","continent","country","state","city","n"
"1","North America","USA","Texas","Houston",14807
"2","Europe","United Kingdom","England",NA,6890
"3","North America","USA","Idaho",NA,5040
"4","North America","USA","Idaho","Ada",3940
"5","Africa","Egypt",NA,NA,3734
"6","North America","USA","Oregon","Linn County",2758
"7","Asia","India","Maharashtra",NA,2204
"8","Europe","Turkey",NA,NA,2014
"9","Europe","Sweden","Uppsala",NA,1853
"10","North America","USA","Oregon","Benton County",1093
"11","Africa","Nigeria","Osun",NA,1060
"12","Oceania","Australia","Victoria",NA,869
"13","Asia","India","Karnataka","Bengaluru Urban",843
"14","Europe","Slovenia",NA,NA,835
"15","Asia","South Korea",NA,NA,792
"16","Europe","United Kingdom","Scotland",NA,754
"17","North America","USA","Idaho","Canyon",748
"18","North America","USA","California",NA,733
"19","North America","USA","Washington",NA,704
"20","Europe","United Kingdom","Wales",NA,697
"21","North America","USA","Maryland",NA,590
"22","Europe","Italy","Campania",NA,587
"23","Asia","United Arab Emirates","Abu Dhabi",NA,583
"24","Europe","Denmark","Hovedstaden",NA,581
"25","North America","USA","New York","New York City",543
"26","North America","USA","Florida",NA,538
"27","Europe","Belgium","Berchem",NA,520
"28","Asia","India","Goa",NA,492
"29","North America","USA","Oregon","Lincoln County",491
"30","North America","USA","Minnesota",NA,476
"31","Asia","India","Maharashtra","Mumbai",444
"32","North America","USA","Utah",NA,444
"33","North America","USA","Oregon","Marion County",422
"34","North America","USA","California","Los Angeles County",413
"35","North America","USA","Colorado",NA,406
"36","North America","Canada","Quebec",NA,399
"37","South America","Brazil","Sao Paulo",NA,399
"38","North America","USA","Michigan",NA,393
"39","North America","USA","Arizona","Navajo",358
"40","North America","USA","New York",NA,353
"41","Africa","Senegal","Thies",NA,344
"42","Asia","Israel","Kfar Saba",NA,342
"43","North America","USA","Massachusetts",NA,340
"44","Asia","Indonesia","Jakarta",NA,333
"45","South America","Colombia","Valle del Cauca","Cali",329
"46","North America","USA","Texas",NA,320
"47","Asia","China","Hubei","Wuhan",309
"48","North America","USA","Kansas",NA,307
"49","Europe","Portugal",NA,NA,282
"50","Asia","India","Gujarat",NA,281
"51","North America","USA","Idaho","Ada County",279
"52","Europe","Turkey","Istanbul",NA,277
"53","Europe","Finland","Uusimaa",NA,275
"54","Europe","Germany","North Rhine-Westphalia",NA,274
"55","Asia","Singapore",NA,NA,267
"56","North America","USA","Arizona",NA,266
"57","North America","Mexico","Mexico City",NA,257
"58","Asia","India","Chhattisgarh","Raipur",253
"59","Europe","Belgium","Antwerp",NA,253
"60","North America","USA","Arizona","Maricopa",253
"61","Europe","Spain","Asturias",NA,246
"62","North America","USA","Iowa",NA,242
"63","Europe","France","Nouvelle-Aquitaine","Limoges",238
"64","Asia","Pakistan","Karachi",NA,232
"65","Europe","Italy","Lombardy",NA,228
"66","Europe","Russia","Smolensk region",NA,228
"67","Europe","Sweden","Stockholm",NA,222
"68","Asia","India","Tamil Nadu","Chennai",220
"69","Asia","Israel",NA,NA,211
"70","Europe","Spain","Catalunya",NA,209
"71","Africa","Gabon","Lambarene",NA,207
"72","North America","USA","Virginia",NA,201
"73","Asia","India","Karnataka",NA,200
"74","Europe","France","Ile-de-France",NA,200
"75","North America","USA","Ohio",NA,198
"76","Europe","Spain","Madrid",NA,195
"77","Europe","Germany","Hamburg",NA,194
"78","North America","USA","North Carolina",NA,185
"79","North America","USA","Pennsylvania",NA,183
"80","North America","Canada","British Columbia",NA,181
"81","Europe","Germany","Baden-Wurttemberg",NA,178
"82","North America","USA","California","San Diego",178
"83","Europe","Iceland","Reykjavik",NA,177
"84","Europe","Finland",NA,NA,176
"85","North America","USA","New Jersey",NA,176
"86","North America","USA","Georgia",NA,175
"87","Europe","Denmark","Syddanmark",NA,172
"88","Africa","South Africa","Eastern Cape",NA,171
"89","Europe","Switzerland","Zurich",NA,171
"90","Europe","North Macedonia","Skopje",NA,169
"91","Asia","India","Odisha",NA,168
"92","Europe","Luxembourg",NA,NA,167
"93","Africa","Morocco","Rabat",NA,166
"94","North America","USA","Oregon","Lane County",166
"95","North America","USA","South Carolina",NA,162
"96","Europe","Belgium","Duffel",NA,160
"97","North America","USA","California","Santa Clara County",160
"98","Asia","India","Delhi",NA,156
"99","North America","USA","Idaho","Bonneville",154
"100","North America","USA","Idaho","Twin Falls",153
"101","Asia","India","Maharashtra","Pune",152
"102","Europe","France","Provence-Alpes-Cote d'Azur","Marseille",150
"103","Asia","India","Telangana","Hyderabad",149
"104","Europe","United Kingdom","Northern Ireland",NA,147
"105","North America","USA","California","San Diego County",147
"106","Asia","Hong Kong",NA,NA,146
"107","Europe","Denmark","Sjaelland",NA,146
"108","North America","USA","Idaho","Owyhee",146
"109","Asia","China","Fujian",NA,145
"110","Asia","Malaysia","Kuala Lumpur",NA,145
"111","Europe","Italy","Lombardy","Pavia",145
"112","Asia","India","Tamil Nadu",NA,144
"113","Europe","Belgium","Mechelen",NA,142
"114","North America","USA","New Mexico",NA,142
"115","North America","USA","Wyoming",NA,142
"116","Europe","Denmark","Midtjylland",NA,137
"117","North America","USA","California","San Bernardino County",137
"118","North America","USA","California","Alameda County",136
"119","Europe","Switzerland","Bern",NA,135
"120","North America","USA","Tennessee",NA,132
"121","Africa","Senegal","Dakar",NA,131
"122","Africa","South Africa","KwaZulu-Natal",NA,131
"123","Europe","Germany","Saarland",NA,128
"124","Asia","Japan","Tokyo",NA,126
"125","North America","USA","Louisiana",NA,125
"126","North America","USA","Montana","Gallatin County",125
"127","Africa","Libya","Tripoli",NA,124
"128","Europe","Russia","Moscow",NA,123
"129","North America","USA","Oregon","Multnomah County",123
"130","Asia","Japan",NA,NA,122
"131","Africa","Gambia","West Coast Region",NA,121
"132","North America","USA","Arizona","Cochise",118
"133","Europe","Belgium","Deurne",NA,116
"134","Europe","Germany","Bavaria",NA,116
"135","North America","Canada","Alberta",NA,114
"136","North America","Canada","Ontario",NA,114
"137","North America","USA","Arizona","Yuma",113
"138","Europe","Ireland","Dublin",NA,112
"139","Europe","Spain","Madrid","Madrid",112
"140","Europe","Germany","Saxony",NA,111
"141","North America","USA","Illinois","Cook County",111
"142","Africa","Senegal",NA,NA,109
"143","Asia","Lebanon",NA,NA,109
"144","Europe","Belgium","Kessel",NA,109
"145","North America","USA","Idaho","Shoshone",108
"146","North America","USA","Washington","Yakima County",108
"147","Oceania","Australia","New South Wales","Sydney",108
"148","Asia","Thailand","Bangkok",NA,107
"149","Asia","China","Shanghai",NA,106
"150","Asia","Qatar","Doha",NA,105
"151","Europe","Spain","Castilla y Leon",NA,105
"152","North America","USA","Connecticut",NA,105
"153","Asia","India","Telangana",NA,103
"154","Asia","India","Gujarat","Surat",101
"155","Europe","Germany","Bavaria","Munich",101
"156","North America","USA","Illinois","Chicago",100
"157","Europe","Denmark","Nordjylland",NA,98
"158","North America","USA","Illinois",NA,97
"159","North America","USA","Oregon",NA,97
"160","Asia","India","Karnataka","Bangalore",95
"161","Europe","Spain","Comunitat Valenciana","Valencia",95
"162","North America","USA","Missouri",NA,95
"163","Asia","India","Tamil Nadu","Coimbatore",94
"164","Asia","Japan","Saitama",NA,94
"165","North America","USA","Indiana",NA,94
"166","North America","USA","Oregon","Clackamas County",94
"167","Asia","India","Gujarat","Ahmedabad",93
"168","Europe","Netherlands","Zuid-Holland",NA,93
"169","Asia","Iran","Tehran",NA,92
"170","Asia","India","Maharashtra","Thane",91
"171","Europe","Netherlands",NA,NA,91
"172","Europe","Switzerland","Basel-Landschaft",NA,91
"173","Asia","India","Maharashtra","Nagpur",90
"174","Europe","Netherlands","Noord-Brabant",NA,90
"175","Europe","Switzerland","Vaud",NA,90
"176","North America","USA","Idaho","Bannock",89
"177","Europe","Italy","Emilia-Romagna",NA,88
"178","North America","USA","Idaho","Idaho",88
"179","Asia","India","Andaman and Nicobar Islands",NA,87
"180","Asia","Indonesia","Bali","Badung",87
"181","Europe","Germany","Mecklenburg-Western Pomerania",NA,86
"182","Europe","Italy","Veneto","Verona",86
"183","North America","USA","Arizona","Coconino",86
"184","North America","Puerto Rico",NA,NA,85
"185","Asia","Mongolia",NA,NA,84
"186","North America","USA","Louisiana","Caddo Parish",84
"187","Europe","France","Auvergne-Rhone-Alpes","Lyon",82
"188","Europe","Russia","Saint Petersburg","Saint Petersburg",82
"189","North America","USA","Wisconsin",NA,82
"190","Asia","India","Karnataka","Bangalore Urban",80
"191","Europe","Netherlands","Gelderland",NA,80
"192","North America","USA","Nevada",NA,79
"193","South America","Peru","Lima",NA,79
"194","Asia","Indonesia","Bali","Denpasar",78
"195","Asia","Indonesia","West Java",NA,78
"196","Asia","Saudi Arabia","Makkah",NA,78
"197","Africa","Nigeria","Lagos",NA,77
"198","North America","USA","Arizona","Pinal",77
"199","Asia","China","Sichuan",NA,76
"200","Europe","Belgium","Mortsel",NA,76
"201","Europe","Belgium","Stabroek",NA,75
"202","Asia","India","Chhattisgarh",NA,74
"203","Asia","Japan","Kanagawa",NA,74
"204","Europe","Spain","Navarra",NA,74
"205","North America","USA","Oregon","Malheur County",74
"206","Asia","India","Maharashtra","Raigad",72
"207","Europe","Greece","Attica",NA,72
"208","North America","USA","Arizona","Maricopa County",72
"209","North America","USA",NA,NA,72
"210","Europe","Bosnia and Herzegovina","Sarajevo",NA,71
"211","Asia","Japan","Osaka",NA,70
"212","Europe","Denmark",NA,NA,70
"213","Europe","Sweden","Vastra Gotaland",NA,70
"214","North America","USA","Kentucky",NA,70
"215","North America","USA","Washington","King County",70
"216","Europe","Canary Islands","Gran Canaria",NA,69
"217","North America","USA","Texas","El Paso",69
"218","Africa","South Africa","North West",NA,67
"219","Europe","France","Auvergne-Rhone-Alpes","Grenoble",67
"220","Europe","Netherlands","Utrecht",NA,67
"221","North America","USA","Nebraska",NA,67
"222","Asia","Indonesia","Bali",NA,65
"223","North America","USA","Idaho","Clearwater",65
"224","North America","USA","Tennessee","Memphis",65
"225","Europe","Netherlands","Noord-Holland",NA,63
"226","North America","USA","California","Orange County",63
"227","South America","Argentina","Ciudad Autonoma de Buenos Aires",NA,63
"228","South America","Brazil","Rio Grande do Sul",NA,63
"229","North America","Canada","Ontario","Toronto",62
"230","Africa","Zambia","Southern","Pemba",61
"231","Europe","Italy","Veneto",NA,60
"232","Europe","Russia","Moscow","Moscow",60
"233","North America","USA","Arizona","Mohave",59
"234","North America","USA","California","San Francisco County",59
"235","Asia","China","Shandong",NA,58
"236","Asia","India","Karnataka","Bengaluru",58
"237","Asia","India",NA,NA,58
"238","Europe","Italy","Abruzzo",NA,58
"239","Europe","Germany","Hesse",NA,57
"240","Oceania","Australia","South Australia",NA,57
"241","Asia","Japan","Fukuoka",NA,56
"242","Europe","Germany","North Rhine-Westphalia","Guetersloh",56
"243","Europe","Norway","Oslo",NA,56
"244","South America","Brazil","Rio de Janeiro",NA,56
"245","Asia","India","Tamil Nadu","Salem",55
"246","Europe","Russia","Lipetsk region",NA,55
"247","Oceania","Australia","Queensland",NA,55
"248","Europe","Belgium","Brussels",NA,54
"249","Europe","Italy","Sardinia",NA,54
"250","North America","USA","Idaho","Kootenai County",54
"251","North America","USA","Oregon","Umatilla County",54
"252","Asia","Indonesia","East Nusa Tenggara",NA,53
"253","Europe","Spain","Basque Country","San Sebastian",53
"254","Europe","Switzerland","Aargau",NA,53
"255","South America","Chile","Region Metropolitana de Santiago","Santiago",53
"256","Africa","Morocco",NA,NA,52
"257","Europe","Germany",NA,NA,52
"258","North America","USA","Oregon","Polk County",52
"259","North America","USA","West Virginia",NA,52
"260","Asia","Bangladesh","Dhaka",NA,51
"261","Europe","Turkey","Marmara",NA,51
"262","North America","Mexico","Durango",NA,51
"263","North America","USA","Wisconsin","Dane County",51
"264","Asia","China","Anhui","Hefei",50
"265","Asia","Taiwan","Taipei",NA,50
"266","Europe","France","Grand Est",NA,50
"267","Europe","Switzerland","Solothurn",NA,50
"268","Asia","Saudi Arabia","Madinah",NA,49
"269","North America","USA","California","Riverside County",49
"270","Asia","India","Tamil Nadu","Tuticorin",48
"271","Asia","Thailand","Songkhla",NA,48
"272","Europe","Spain","Andalusia","Malaga",48
"273","Europe","Spain","Andalusia",NA,48
"274","North America","USA","Idaho","Gem",48
"275","North America","USA","New York","Nassau County",48
"276","North America","USA","Oregon","Washington County",48
"277","North America","USA","Texas","Houston County",48
"278","South America","Brazil","Sao Paulo","Sao Paulo",48
"279","Asia","China","Guangdong","Shenzhen",47
"280","Asia","India","Goa","North Goa",47
"281","Asia","India","Haryana",NA,47
"282","Europe","Germany","Berlin",NA,47
"283","Asia","Israel","Jerusalem District",NA,46
"284","Europe","Czech Republic",NA,NA,46
"285","North America","USA","Louisiana","East Baton Rouge Parish",46
