"","continent","country","n"
"1","North America","USA",66
"2","Europe","France",18
"3","Asia","China",16
"4","Europe","Spain",16
"5","Asia","India",12
"6","North America","Canada",6
"7","Europe","United Kingdom",5
"8","South America","Argentina",4
"9","Africa","Morocco",3
"10","Asia","Japan",3
"11","Europe","Germany",3
"12","Europe","Ireland",3
"13","Europe","Norway",3
"14","South America","Brazil",3
"15","Africa","Niger",2
"16","Africa","South Africa",2
"17","Asia","Lebanon",2
"18","Europe","Denmark",2
"19","Europe","Slovakia",2
"20","Europe","Switzerland",2
"21","Oceania","Australia",2
"22","Africa","Democratic Republic of the Congo",1
"23","Africa","Senegal",1
"24","Africa","Sierra Leone",1
"25","Africa","Zambia",1
"26","Asia","Hong Kong",1
"27","Asia","Saudi Arabia",1
"28","Asia","United Arab Emirates",1
"29","Europe","Belgium",1
"30","Europe","Canary Islands",1
"31","Europe","Italy",1
"32","Europe","Lithuania",1
"33","Europe","Sweden",1
"34","North America","Costa Rica",1
"35","North America","Haiti",1
"36","North America","Mexico",1
