"","continent","country","n"
"1","North America","USA",1429
"2","Europe","United Kingdom",804
"3","Asia","China",275
"4","Europe","Spain",255
"5","Europe","France",188
"6","Asia","India",159
"7","Europe","Italy",157
"8","North America","Canada",157
"9","Europe","Germany",122
"10","Oceania","Australia",113
"11","Asia","Japan",108
"12","Europe","Netherlands",89
"13","Europe","Belgium",75
"14","Europe","Denmark",75
"15","South America","Brazil",70
"16","Europe","Switzerland",66
"17","Europe","Sweden",65
"18","Europe","Portugal",53
"19","Asia","Israel",45
"20","Asia","Lebanon",42
"21","Europe","Ireland",41
"22","Africa","Morocco",40
"23","Europe","Iceland",37
"24","Asia","Hong Kong",36
"25","Asia","Singapore",34
"26","Asia","Iran",33
"27","Asia","South Korea",28
"28","Asia","Saudi Arabia",27
"29","North America","Mexico",26
"30","South America","Argentina",26
"31","Europe","Austria",25
"32","Africa","South Africa",24
"33","Asia","United Arab Emirates",24
"34","Europe","Norway",24
"35","Africa","Senegal",23
"36","South America","Peru",22
"37","Africa","Egypt",20
"38","Europe","Finland",19
"39","Asia","Qatar",16
"40","Oceania","New Zealand",16
"41","Asia","Thailand",15
"42","Europe","Luxembourg",15
"43","Europe","Czech Republic",13
"44","South America","Chile",12
"45","Africa","Sierra Leone",11
"46","Europe","Russia",11
"47","Europe","Slovenia",11
"48","Europe","Canary Islands",10
"49","Africa","Gambia",9
"50","Africa","Niger",9
"51","Africa","Zambia",9
"52","South America","Colombia",9
"53","Asia","Philippines",8
"54","Asia","Taiwan",8
"55","Europe","Greece",8
"56","Asia","Indonesia",7
"57","Asia","Mongolia",7
"58","Europe","Turkey",7
"59","Africa","Democratic Republic of the Congo",6
"60","Asia","Bangladesh",6
"61","Asia","Vietnam",6
"62","Europe","Romania",6
"63","Africa","Kenya",5
"64","Africa","Nigeria",5
"65","Asia","Oman",5
"66","Europe","Latvia",5
"67","Europe","Slovakia",5
"68","North America","Panama",5
"69","Asia","Bahrain",4
"70","Asia","Malaysia",4
"71","Europe","Lithuania",4
"72","Europe","Poland",4
"73","North America","Costa Rica",4
"74","Africa","Ghana",3
"75","Africa","Tunisia",3
"76","Asia","Sri Lanka",3
"77","Oceania","Guam",3
"78","Africa","Algeria",2
"79","Africa","Mauritius",2
"80","Africa","Reunion",2
"81","Africa","Togo",2
"82","Asia","Kazakhstan",2
"83","Asia","Palestine",2
"84","Europe","Bulgaria",2
"85","Europe","Croatia",2
"86","Europe","Cyprus",2
"87","Europe","North Macedonia",2
"88","Europe","Serbia",2
"89","North America","Puerto Rico",2
"90","South America","Ecuador",2
"91","Africa","Angola",1
"92","Africa","Benin",1
"93","Africa","Burkina Faso",1
"94","Africa","Gabon",1
"95","Africa","Libya",1
"96","Africa","Madagascar",1
"97","Africa","Malawi",1
"98","Africa","Mali",1
"99","Africa","Uganda",1
"100","Africa","Zimbabwe",1
"101","Asia","Afghanistan",1
"102","Asia","Cambodia",1
"103","Asia","Jordan",1
"104","Asia","Kuwait",1
"105","Asia","Kyrgyzstan",1
"106","Asia","Pakistan",1
"107","Europe","Azerbaijan",1
"108","Europe","Bosnia and Herzegovina",1
"109","Europe","Faroe Islands",1
"110","Europe","Hungary",1
"111","North America","Cuba",1
"112","North America","Dominican Republic",1
"113","North America","Guadeloupe",1
"114","North America","Guatemala",1
"115","North America","Haiti",1
"116","North America","Saint Barthelemy",1
"117","North America","U.S. Virgin Islands",1
"118","Oceania","Fiji",1
"119","South America","Bolivia",1
"120","South America","Guyana",1
"121","South America","Paraguay",1
"122","South America","Venezuela",1
