"","continent","country","state","n"
"1","North America","USA","Texas",15437
"2","North America","USA","Idaho",11095
"3","Europe","United Kingdom","England",6907
"4","North America","USA","Oregon",5549
"5","Africa","Egypt",NA,3734
"6","Asia","India","Maharashtra",3194
"7","North America","USA","California",2606
"8","Europe","Turkey",NA,2014
"9","Europe","Sweden","Uppsala",1853
"10","Asia","India","Karnataka",1489
"11","North America","USA","Arizona",1484
"12","North America","USA","New York",1356
"13","Africa","Nigeria","Osun",1060
"14","Asia","India","Tamil Nadu",992
"15","North America","USA","Washington",976
"16","Oceania","Australia","Victoria",874
"17","Europe","Slovenia",NA,835
"18","Asia","South Korea",NA,792
"19","Europe","United Kingdom","Scotland",754
"20","Europe","United Kingdom","Wales",697
"21","South America","Brazil","Sao Paulo",682
"22","North America","USA","Minnesota",651
"23","Europe","Italy","Campania",627
"24","Asia","India","Gujarat",623
"25","North America","USA","Maryland",609
"26","Asia","United Arab Emirates","Abu Dhabi",583
"27","Europe","Denmark","Hovedstaden",581
"28","Asia","India","Goa",567
"29","North America","USA","Florida",554
"30","Europe","Belgium","Berchem",520
"31","North America","USA","Illinois",448
"32","North America","USA","Utah",444
"33","Asia","Indonesia","Jakarta",415
"34","North America","USA","Colorado",406
"35","North America","Canada","Quebec",399
"36","Asia","India","Telangana",398
"37","North America","USA","Michigan",393
"38","Europe","Italy","Lombardy",378
"39","Europe","Germany","North Rhine-Westphalia",377
"40","North America","USA","Tennessee",366
"41","North America","USA","Massachusetts",362
"42","North America","USA","Louisiana",359
"43","Africa","Senegal","Thies",356
"44","Asia","Israel","Kfar Saba",342
"45","South America","Colombia","Valle del Cauca",330
"46","Asia","India","Chhattisgarh",329
"47","Europe","Spain","Catalunya",326
"48","Europe","France","Nouvelle-Aquitaine",317
"49","Asia","China","Hubei",309
"50","Europe","Spain","Madrid",308
"51","North America","USA","Kansas",308
"52","North America","USA","Wisconsin",300
"53","Europe","France","Ile-de-France",295
"54","Europe","Portugal",NA,282
"55","Europe","Turkey","Istanbul",277
"56","Europe","France","Auvergne-Rhone-Alpes",276
"57","Europe","Finland","Uusimaa",275
"58","Asia","Singapore",NA,267
"59","North America","Mexico","Mexico City",257
"60","Europe","Belgium","Antwerp",256
"61","Europe","Spain","Asturias",256
"62","Asia","Indonesia","Bali",251
"63","North America","USA","Iowa",251
"64","Europe","Germany","Bavaria",235
"65","Asia","Pakistan","Karachi",232
"66","Europe","Russia","Smolensk region",230
"67","North America","USA","North Carolina",225
"68","Europe","Germany","Baden-Wurttemberg",224
"69","Europe","Sweden","Stockholm",222
"70","North America","USA","Pennsylvania",222
"71","Europe","Spain","Andalusia",220
"72","North America","USA","Ohio",212
"73","Asia","Israel",NA,211
"74","Africa","Gabon","Lambarene",207
"75","Africa","South Africa","KwaZulu-Natal",206
"76","North America","USA","Virginia",205
"77","Asia","India","Delhi",202
"78","Asia","India","Odisha",201
"79","Europe","Germany","Hamburg",194
"80","Africa","South Africa","Eastern Cape",192
"81","North America","USA","Montana",188
"82","Europe","Italy","Veneto",187
"83","Europe","Russia","Moscow",187
"84","North America","USA","South Carolina",185
"85","North America","Canada","Ontario",184
"86","North America","Canada","British Columbia",181
"87","North America","USA","New Jersey",179
"88","Europe","Iceland","Reykjavik",177
"89","Europe","Finland",NA,176
"90","North America","USA","Georgia",176
"91","Europe","France","Provence-Alpes-Cote d'Azur",175
"92","Europe","Denmark","Syddanmark",172
"93","Europe","Switzerland","Zurich",171
"94","Europe","North Macedonia","Skopje",169
"95","Europe","Luxembourg",NA,167
"96","Africa","Morocco","Rabat",166
"97","South America","Brazil","Rio de Janeiro",161
"98","Europe","Belgium","Duffel",160
"99","Europe","United Kingdom","Northern Ireland",147
"100","Asia","China","Fujian",146
"101","Asia","Hong Kong",NA,146
"102","Europe","Denmark","Sjaelland",146
"103","Asia","Malaysia","Kuala Lumpur",145
"104","Europe","Belgium","Mechelen",142
"105","North America","USA","New Mexico",142
"106","North America","USA","Wyoming",142
"107","Africa","Senegal","Dakar",140
"108","Europe","Denmark","Midtjylland",137
"109","Europe","Switzerland","Bern",135
"110","South America","Brazil","Rio Grande do Sul",130
"111","North America","USA","Connecticut",129
"112","Europe","Germany","Saarland",128
"113","Europe","Spain","Comunitat Valenciana",128
"114","Asia","Japan","Tokyo",126
"115","Asia","Indonesia","West Java",125
"116","Africa","Libya","Tripoli",124
"117","Oceania","Australia","New South Wales",124
"118","Asia","Japan",NA,122
"119","South America","Peru","Lima",122
"120","Africa","Gambia","West Coast Region",121
"121","Europe","Spain","Castilla y Leon",120
"122","North America","USA","Indiana",118
"123","Europe","Belgium","Deurne",116
"124","North America","Canada","Alberta",114
"125","Europe","Germany","Saxony",112
"126","Europe","Ireland","Dublin",112
"127","Europe","Spain","Basque Country",112
"128","Africa","Senegal",NA,109
"129","Asia","Lebanon",NA,109
"130","Europe","Belgium","Kessel",109
"131","Asia","Thailand","Bangkok",107
"132","North America","USA","Nevada",107
"133","Asia","China","Shanghai",106
"134","Europe","Russia","Saint Petersburg",106
"135","Asia","Qatar","Doha",105
"136","North America","USA","Missouri",105
"137","North America","USA","Alaska",99
"138","Europe","Denmark","Nordjylland",98
"139","South America","Brazil","Bahia",97
"140","Asia","Japan","Saitama",94
"141","Europe","Netherlands","Noord-Brabant",94
"142","Europe","Netherlands","Zuid-Holland",94
"143","Europe","Spain","Navarra",93
"144","Asia","Iran","Tehran",92
"145","Europe","France","Grand Est",92
"146","Asia","India","Rajasthan",91
"147","Europe","Netherlands",NA,91
"148","Europe","Switzerland","Basel-Landschaft",91
"149","Europe","Switzerland","Vaud",90
"150","Europe","Sweden","Vastra Gotaland",89
"151","Europe","Italy","Emilia-Romagna",88
"152","Asia","India","Andaman and Nicobar Islands",87
