"","continent","country","n"
"1","North America","USA",47075
"2","Asia","India",8939
"3","Europe","United Kingdom",8505
"4","Africa","Egypt",3794
"5","Europe","Sweden",2444
"6","Europe","Turkey",2379
"7","Europe","Belgium",2228
"8","Europe","Spain",1909
"9","Europe","Italy",1753
"10","Europe","Germany",1720
"11","South America","Brazil",1652
"12","Europe","France",1599
"13","Asia","Indonesia",1254
"14","Africa","Nigeria",1209
"15","Europe","Denmark",1204
"16","Oceania","Australia",1149
"17","Asia","China",1110
"18","Asia","Japan",1016
"19","North America","Canada",994
"20","Europe","Slovenia",924
"21","Europe","Russia",904
"22","Europe","Switzerland",866
"23","Asia","South Korea",798
"24","Asia","Israel",725
"25","North America","Mexico",696
"26","Africa","South Africa",658
"27","Europe","Netherlands",649
"28","Africa","Senegal",637
"29","Asia","United Arab Emirates",615
"30","Europe","Finland",459
"31","South America","Colombia",405
"32","Asia","Thailand",396
"33","Asia","Pakistan",324
"34","Europe","Portugal",286
"35","Asia","Singapore",267
"36","Africa","Morocco",244
"37","Europe","Greece",237
"38","Europe","Ireland",232
"39","South America","Peru",226
"40","Asia","Malaysia",222
"41","Africa","Gabon",216
"42","Europe","Poland",202
"43","Europe","North Macedonia",196
"44","Asia","Bangladesh",191
"45","Asia","Saudi Arabia",191
"46","South America","Argentina",189
"47","Europe","Iceland",182
"48","Europe","Norway",181
"49","South America","Chile",169
"50","Asia","Lebanon",168
"51","Europe","Romania",168
"52","Europe","Luxembourg",167
"53","Europe","Austria",163
"54","Asia","Philippines",154
"55","Asia","Iran",150
"56","Europe","Czech Republic",149
"57","Asia","Hong Kong",146
"58","Africa","Gambia",129
"59","Europe","Belarus",129
"60","Africa","Libya",124
"61","Europe","Canary Islands",120
"62","Europe","Bosnia and Herzegovina",119
"63","Africa","Kenya",111
"64","Africa","Zambia",107
"65","Asia","Kazakhstan",106
"66","Asia","Qatar",105
"67","North America","Puerto Rico",95
"68","Asia","Mongolia",84
"69","Europe","Slovakia",82
"70","Asia","Taiwan",80
"71","Europe","Lithuania",80
"72","Asia","Sri Lanka",75
"73","North America","Panama",74
"74","Africa","Tunisia",59
"75","Asia","Oman",58
"76","North America","Costa Rica",50
"77","Oceania","New Zealand",48
"78","Europe","Ukraine",46
"79","Asia","Vietnam",43
"80","Europe","Latvia",42
"81","Asia","Jordan",39
"82","Europe","Croatia",38
"83","Europe","Cyprus",37
"84","South America","Paraguay",37
"85","North America","Haiti",35
"86","Europe","Bulgaria",32
"87","Europe","Serbia",32
"88","Asia","Uzbekistan",31
"89","Africa","Ghana",30
"90","Europe","Estonia",30
"91","Africa","Togo",27
"92","Africa","Democratic Republic of the Congo",26
"93","Europe","Moldova",26
"94","South America","Ecuador",26
"95","Africa","Uganda",25
"96","Asia","Nepal",25
"97","South America","Venezuela",25
"98","Africa","Botswana",23
"99","Africa","Djibouti",23
"100","Africa","Niger",22
"101","Asia","Kuwait",22
"102","Asia","Bahrain",21
"103","Asia","Georgia",20
"104","Africa","Madagascar",19
"105","Asia","Iraq",19
"106","Africa","Burkina Faso",18
"107","Africa","Sierra Leone",18
"108","Africa","Zimbabwe",18
"109","Europe","Hungary",18
"110","Oceania","Papua New Guinea",18
"111","Africa","Mauritius",16
"112","Africa","Mozambique",16
"113","North America","Guatemala",16
"114","Africa","Equatorial Guinea",15
"115","Africa","Cote d'Ivoire",14
"116","Africa","Reunion",13
"117","North America","Nicaragua",13
"118","South America","Bolivia",13
"119","Africa","Ethiopia",12
"120","Africa","Rwanda",12
"121","Europe","Azerbaijan",12
"122","South America","French Guiana",12
"123","Africa","Guinea",11
"124","Africa","Malawi",11
"125","Asia","Cambodia",11
"126","North America","Dominican Republic",11
"127","Africa","Algeria",10
"128","Africa","Angola",10
"129","North America","Sint Maarten",10
"130","South America","Aruba",10
"131","South America","Uruguay",10
"132","Africa","Cameroon",9
"133","Africa","Benin",8
"134","Asia","Kyrgyzstan",8
"135","Asia","Maldives",8
"136","Asia","Palestine",7
"137","Europe","Crimea",7
"138","Europe","Gibraltar",7
"139","North America","Martinique",7
"140","North America","Guadeloupe",6
"141","Africa","Mali",5
"142","North America","U.S. Virgin Islands",5
"143","Oceania","Guam",5
"144","Africa","Mayotte",4
"145","Europe","Faroe Islands",4
"146","Africa","Republic of the Congo",3
"147","Africa","Sudan",3
"148","Asia","Afghanistan",3
"149","Asia","Brunei",3
"150","Asia","Myanmar",3
"151","North America","Jamaica",3
"152","South America","Suriname",3
"153","South America","Trinidad and Tobago",3
"154","Africa","Eswatini",2
"155","Africa","Namibia",2
"156","Asia","Bhutan",2
"157","Europe","Albania",2
"158","Europe","Montenegro",2
"159","Oceania","Fiji",2
"160","South America","Curacao",2
"161","Africa","Cabo Verde",1
"162","Africa","Seychelles",1
"163","Asia","Syria",1
"164","Asia","Timor-Leste",1
"165","Europe","Kosovo",1
"166","Europe","Malta",1
"167","North America","Belize",1
"168","North America","Cuba",1
"169","North America","El Salvador",1
"170","North America","Honduras",1
"171","North America","Saint Barthelemy",1
"172","North America","Saint Martin",1
"173","North America","The Bahamas",1
"174","South America","Bonaire",1
"175","South America","Guyana",1
