Genome region,Total number of mutations
Spike,0
Spike,22
Spike,12
Spike,43
Spike,10
Spike,8
Spike,2
Spike,1
Spike,0
Spike,0
Spike,1
Spike,0
Spike,1
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Spike,0
Rest of the genome,1
Rest of the genome,34
Rest of the genome,27
Rest of the genome,33
Rest of the genome,4
Rest of the genome,0
Rest of the genome,1
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
Rest of the genome,0
