Mutation-level,Total number of mutations
Top 100,1
Top 100,43
Top 100,12
Top 100,44
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 100,0
Top 1000,3
Top 1000,204
Top 1000,204
Top 1000,468
Top 1000,65
Top 1000,26
Top 1000,8
Top 1000,10
Top 1000,3
Top 1000,0
Top 1000,6
Top 1000,1
Top 1000,1
Top 1000,1
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
Top 1000,0
