collection_date,n_sequences,cum_seqs
2019-12-05,1,1
2019-12-24,1,2
2019-12-26,1,3
2019-12-30,20,23
2019-12-31,2,25
2020-01-01,71,96
2020-01-02,3,99
2020-01-03,11,110
2020-01-04,1,111
2020-01-05,3,114
2020-01-08,4,118
2020-01-09,2,120
2020-01-10,41,161
2020-01-11,3,164
2020-01-12,70,234
2020-01-13,7,241
2020-01-14,5,246
2020-01-15,6,252
2020-01-16,14,266
2020-01-17,7,273
2020-01-18,7,280
2020-01-19,24,304
2020-01-20,13,317
2020-01-21,32,349
2020-01-22,52,401
2020-01-23,49,450
2020-01-24,51,501
2020-01-25,72,573
2020-01-26,70,643
2020-01-27,59,702
2020-01-28,40,742
2020-01-29,88,830
2020-01-30,74,904
2020-01-31,60,964
2020-02-01,68,1032
2020-02-02,78,1110
2020-02-03,73,1183
2020-02-04,53,1236
2020-02-05,65,1301
2020-02-06,66,1367
2020-02-07,62,1429
2020-02-08,67,1496
2020-02-09,82,1578
2020-02-10,56,1634
2020-02-11,53,1687
2020-02-12,42,1729
2020-02-13,33,1762
2020-02-14,34,1796
2020-02-15,79,1875
2020-02-16,51,1926
2020-02-17,73,1999
2020-02-18,43,2042
2020-02-19,48,2090
2020-02-20,73,2163
2020-02-21,69,2232
2020-02-22,71,2303
2020-02-23,64,2367
2020-02-24,93,2460
2020-02-25,102,2562
2020-02-26,108,2670
2020-02-27,142,2812
2020-02-28,223,3035
2020-02-29,188,3223
2020-03-01,268,3491
2020-03-02,423,3914
2020-03-03,465,4379
2020-03-04,536,4915
2020-03-05,584,5499
2020-03-06,521,6020
2020-03-07,490,6510
2020-03-08,572,7082
2020-03-09,1144,8226
2020-03-10,1116,9342
2020-03-11,1223,10565
2020-03-12,1429,11994
2020-03-13,1630,13624
2020-03-14,1505,15129
2020-03-15,1758,16887
2020-03-16,2510,19397
2020-03-17,2427,21824
2020-03-18,2531,24355
2020-03-19,2479,26834
2020-03-20,2600,29434
2020-03-21,2066,31500
2020-03-22,2155,33655
2020-03-23,3311,36966
2020-03-24,3295,40261
2020-03-25,3218,43479
2020-03-26,3265,46744
2020-03-27,3313,50057
2020-03-28,2591,52648
2020-03-29,2287,54935
2020-03-30,3586,58521
2020-03-31,3331,61852
2020-04-01,3379,65231
2020-04-02,2863,68094
2020-04-03,2923,71017
2020-04-04,2102,73119
2020-04-05,1807,74926
2020-04-06,3019,77945
2020-04-07,2658,80603
2020-04-08,2689,83292
2020-04-09,2344,85636
2020-04-10,2319,87955
2020-04-11,1905,89860
2020-04-12,1480,91340
2020-04-13,2507,93847
2020-04-14,2356,96203
2020-04-15,2213,98416
2020-04-16,2094,100510
2020-04-17,2079,102589
2020-04-18,1450,104039
2020-04-19,1124,105163
2020-04-20,2295,107458
2020-04-21,1924,109382
2020-04-22,1868,111250
2020-04-23,1727,112977
2020-04-24,1676,114653
2020-04-25,1133,115786
2020-04-26,1003,116789
2020-04-27,1902,118691
2020-04-28,1569,120260
2020-04-29,1682,121942
2020-04-30,1694,123636
2020-05-01,1652,125288
2020-05-02,1022,126310
2020-05-03,842,127152
2020-05-04,1666,128818
2020-05-05,1466,130284
2020-05-06,1260,131544
2020-05-07,1366,132910
2020-05-08,1238,134148
2020-05-09,943,135091
2020-05-10,725,135816
2020-05-11,1373,137189
2020-05-12,1219,138408
2020-05-13,1213,139621
2020-05-14,1404,141025
2020-05-15,1357,142382
2020-05-16,712,143094
2020-05-17,673,143767
2020-05-18,1455,145222
2020-05-19,1335,146557
2020-05-20,1065,147622
2020-05-21,1074,148696
2020-05-22,1118,149814
2020-05-23,602,150416
2020-05-24,558,150974
2020-05-25,877,151851
2020-05-26,1032,152883
2020-05-27,1045,153928
2020-05-28,813,154741
2020-05-29,785,155526
2020-05-30,559,156085
2020-05-31,454,156539
2020-06-01,1086,157625
2020-06-02,1036,158661
2020-06-03,938,159599
2020-06-04,935,160534
2020-06-05,926,161460
2020-06-06,556,162016
2020-06-07,610,162626
2020-06-08,1257,163883
2020-06-09,1132,165015
2020-06-10,1128,166143
2020-06-11,1384,167527
2020-06-12,1249,168776
2020-06-13,1014,169790
2020-06-14,844,170634
2020-06-15,1616,172250
2020-06-16,2095,174345
2020-06-17,1441,175786
2020-06-18,1552,177338
2020-06-19,1674,179012
2020-06-20,1080,180092
2020-06-21,984,181076
2020-06-22,1374,182450
2020-06-23,1537,183987
2020-06-24,1617,185604
2020-06-25,1425,187029
2020-06-26,1332,188361
2020-06-27,800,189161
2020-06-28,704,189865
2020-06-29,1573,191438
2020-06-30,1505,192943
2020-07-01,1647,194590
2020-07-02,1737,196327
2020-07-03,1377,197704
2020-07-04,960,198664
2020-07-05,726,199390
2020-07-06,1597,200987
2020-07-07,1737,202724
2020-07-08,1842,204566
2020-07-09,1772,206338
2020-07-10,1637,207975
2020-07-11,919,208894
2020-07-12,832,209726
2020-07-13,1943,211669
2020-07-14,1897,213566
2020-07-15,1967,215533
2020-07-16,1640,217173
2020-07-17,1813,218986
2020-07-18,1286,220272
2020-07-19,991,221263
2020-07-20,1962,223225
2020-07-21,2027,225252
2020-07-22,1778,227030
2020-07-23,1794,228824
2020-07-24,1621,230445
2020-07-25,1172,231617
2020-07-26,781,232398
2020-07-27,2283,234681
2020-07-28,1778,236459
2020-07-29,1833,238292
2020-07-30,1779,240071
2020-07-31,1618,241689
2020-08-01,1329,243018
2020-08-02,1055,244073
2020-08-03,1945,246018
2020-08-04,1810,247828
2020-08-05,1671,249499
2020-08-06,1756,251255
2020-08-07,1540,252795
2020-08-08,956,253751
2020-08-09,1051,254802
2020-08-10,2196,256998
2020-08-11,1878,258876
2020-08-12,1696,260572
2020-08-13,1719,262291
2020-08-14,1533,263824
2020-08-15,1017,264841
2020-08-16,806,265647
2020-08-17,2188,267835
2020-08-18,1685,269520
2020-08-19,1567,271087
