collection_date,n_sequences,cumulative
2019-12-24,1,1
2019-12-26,1,2
2019-12-30,18,20
2019-12-31,1,21
2020-01-01,6,27
2020-01-02,2,29
2020-01-03,2,31
2020-01-04,1,32
2020-01-05,2,34
2020-01-08,2,36
2020-01-10,16,52
2020-01-11,3,55
2020-01-13,4,59
2020-01-14,2,61
2020-01-15,4,65
2020-01-16,13,78
2020-01-17,7,85
2020-01-18,4,89
2020-01-19,9,98
2020-01-20,7,105
2020-01-21,24,129
2020-01-22,34,163
2020-01-23,27,190
2020-01-24,27,217
2020-01-25,53,270
2020-01-26,51,321
2020-01-27,45,366
2020-01-28,30,396
2020-01-29,51,447
2020-01-30,51,498
2020-01-31,30,528
2020-02-01,39,567
2020-02-02,44,611
2020-02-03,35,646
2020-02-04,28,674
2020-02-05,46,720
2020-02-06,35,755
2020-02-07,42,797
2020-02-08,48,845
2020-02-09,34,879
2020-02-10,36,915
2020-02-11,32,947
2020-02-12,14,961
2020-02-13,20,981
2020-02-14,24,1005
2020-02-15,48,1053
2020-02-16,39,1092
2020-02-17,55,1147
2020-02-18,34,1181
2020-02-19,36,1217
2020-02-20,45,1262
2020-02-21,47,1309
2020-02-22,49,1358
2020-02-23,37,1395
2020-02-24,63,1458
2020-02-25,74,1532
2020-02-26,78,1610
2020-02-27,108,1718
2020-02-28,150,1868
2020-02-29,127,1995
2020-03-01,152,2147
2020-03-02,247,2394
2020-03-03,319,2713
2020-03-04,372,3085
2020-03-05,420,3505
2020-03-06,354,3859
2020-03-07,348,4207
2020-03-08,417,4624
2020-03-09,855,5479
2020-03-10,760,6239
2020-03-11,855,7094
2020-03-12,1014,8108
2020-03-13,1176,9284
2020-03-14,1123,10407
2020-03-15,1317,11724
2020-03-16,1957,13681
2020-03-17,1831,15512
2020-03-18,1822,17334
2020-03-19,1762,19096
2020-03-20,1879,20975
2020-03-21,1496,22471
2020-03-22,1579,24050
2020-03-23,2299,26349
2020-03-24,2246,28595
2020-03-25,2314,30909
2020-03-26,2195,33104
2020-03-27,2312,35416
2020-03-28,1785,37201
2020-03-29,1557,38758
2020-03-30,2540,41298
2020-03-31,2096,43394
2020-04-01,2200,45594
2020-04-02,1898,47492
2020-04-03,1903,49395
2020-04-04,1350,50745
2020-04-05,1217,51962
2020-04-06,2092,54054
2020-04-07,1767,55821
2020-04-08,1866,57687
2020-04-09,1562,59249
2020-04-10,1604,60853
2020-04-11,1340,62193
2020-04-12,1004,63197
2020-04-13,1738,64935
2020-04-14,1602,66537
2020-04-15,1472,68009
2020-04-16,1406,69415
2020-04-17,1442,70857
2020-04-18,987,71844
2020-04-19,741,72585
2020-04-20,1518,74103
2020-04-21,1295,75398
2020-04-22,1314,76712
2020-04-23,1204,77916
2020-04-24,1103,79019
2020-04-25,757,79776
2020-04-26,697,80473
2020-04-27,1184,81657
2020-04-28,980,82637
2020-04-29,1060,83697
2020-04-30,1153,84850
2020-05-01,999,85849
2020-05-02,714,86563
2020-05-03,629,87192
2020-05-04,1181,88373
2020-05-05,973,89346
2020-05-06,849,90195
2020-05-07,869,91064
2020-05-08,788,91852
2020-05-09,573,92425
2020-05-10,467,92892
2020-05-11,900,93792
2020-05-12,786,94578
2020-05-13,791,95369
2020-05-14,870,96239
2020-05-15,965,97204
2020-05-16,488,97692
2020-05-17,486,98178
2020-05-18,1023,99201
2020-05-19,953,100154
2020-05-20,689,100843
2020-05-21,676,101519
2020-05-22,630,102149
2020-05-23,403,102552
2020-05-24,369,102921
2020-05-25,560,103481
2020-05-26,657,104138
2020-05-27,700,104838
2020-05-28,486,105324
2020-05-29,549,105873
2020-05-30,335,106208
2020-05-31,293,106501
2020-06-01,690,107191
2020-06-02,618,107809
2020-06-03,617,108426
2020-06-04,605,109031
2020-06-05,654,109685
2020-06-06,366,110051
2020-06-07,440,110491
2020-06-08,854,111345
2020-06-09,778,112123
2020-06-10,782,112905
2020-06-11,1014,113919
2020-06-12,894,114813
2020-06-13,670,115483
2020-06-14,587,116070
2020-06-15,1098,117168
2020-06-16,1202,118370
2020-06-17,1028,119398
2020-06-18,1103,120501
2020-06-19,1117,121618
2020-06-20,663,122281
2020-06-21,591,122872
2020-06-22,912,123784
2020-06-23,984,124768
2020-06-24,1045,125813
2020-06-25,963,126776
2020-06-26,930,127706
2020-06-27,571,128277
2020-06-28,504,128781
2020-06-29,1126,129907
2020-06-30,1081,130988
2020-07-01,1222,132210
2020-07-02,1330,133540
2020-07-03,1045,134585
2020-07-04,731,135316
2020-07-05,562,135878
2020-07-06,1181,137059
2020-07-07,1238,138297
2020-07-08,1338,139635
2020-07-09,1314,140949
2020-07-10,1099,142048
2020-07-11,621,142669
2020-07-12,557,143226
2020-07-13,1285,144511
2020-07-14,1264,145775
2020-07-15,1374,147149
2020-07-16,1179,148328
2020-07-17,1268,149596
2020-07-18,958,150554
2020-07-19,703,151257
2020-07-20,1174,152431
2020-07-21,1239,153670
2020-07-22,1204,154874
2020-07-23,1209,156083
2020-07-24,1051,157134
2020-07-25,812,157946
