collection_date,pct_fully_vaccinated
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,0.01
2021-01-08,0.01
2021-01-09,0.01
2021-01-10,0.02
2021-01-11,0.03
2021-01-12,0.03
2021-01-13,0.04
2021-01-14,0.04
2021-01-15,0.04
2021-01-16,0.04
2021-01-17,0.05
2021-01-18,0.05
2021-01-19,0.06
2021-01-20,0.07
2021-01-21,0.07
2021-01-22,0.08
2021-01-23,0.08
2021-01-24,0.09
2021-01-25,0.1
2021-01-26,0.11
2021-01-27,0.12
2021-01-28,0.14
2021-01-29,0.15
2021-01-30,0.16
2021-01-31,0.16
2021-02-01,0.17
2021-02-02,0.19
2021-02-03,0.21
2021-02-04,0.23
2021-02-05,0.25
2021-02-06,0.25
2021-02-07,0.26
2021-02-08,0.28
2021-02-09,0.29
2021-02-10,0.31
2021-02-11,0.34
2021-02-12,0.37
2021-02-13,0.38
2021-02-14,0.39
2021-02-15,0.4
2021-02-16,0.43
2021-02-17,0.45
2021-02-18,0.47
2021-02-19,0.51
2021-02-20,0.52
2021-02-21,0.53
2021-02-22,0.55
2021-02-23,0.6
2021-02-24,0.63
2021-02-25,0.66
2021-02-26,0.7
2021-02-27,0.72
2021-02-28,0.72
2021-03-01,0.74
2021-03-02,0.78
2021-03-03,0.81
2021-03-04,0.85
2021-03-05,0.88
2021-03-06,0.91
2021-03-07,0.92
2021-03-08,0.94
2021-03-09,0.97
2021-03-10,1.01
2021-03-11,1.05
2021-03-12,1.09
2021-03-13,1.12
2021-03-14,1.13
2021-03-15,1.17
2021-03-16,1.21
2021-03-17,1.26
2021-03-18,1.3
2021-03-19,1.34
2021-03-20,1.37
2021-03-21,1.38
2021-03-22,1.41
2021-03-23,1.44
2021-03-24,1.49
2021-03-25,1.54
2021-03-26,1.59
2021-03-27,1.62
2021-03-28,1.63
2021-03-29,1.68
2021-03-30,1.73
2021-03-31,1.79
2021-04-01,1.85
2021-04-02,1.89
2021-04-03,1.92
2021-04-04,1.94
2021-04-05,1.98
2021-04-06,2.04
2021-04-07,2.1
2021-04-08,2.17
2021-04-09,2.25
2021-04-10,2.29
2021-04-11,2.32
2021-04-12,2.38
2021-04-13,2.43
2021-04-14,2.5
2021-04-15,2.57
2021-04-16,2.64
2021-04-17,2.68
2021-04-18,2.71
2021-04-19,2.77
2021-04-20,2.85
2021-04-21,2.92
2021-04-22,3
2021-04-23,3.07
2021-04-24,3.11
2021-04-25,3.17
2021-04-26,3.23
2021-04-27,3.31
2021-04-28,3.4
2021-04-29,3.5
2021-04-30,3.58
2021-05-01,3.63
2021-05-02,3.66
2021-05-03,3.71
2021-05-04,3.8
2021-05-05,3.89
2021-05-06,3.98
2021-05-07,4.08
2021-05-08,4.14
2021-05-09,4.17
2021-05-10,4.24
2021-05-11,4.33
2021-05-12,4.42
2021-05-13,4.49
2021-05-14,4.57
2021-05-15,4.62
2021-05-16,4.65
2021-05-17,4.71
2021-05-18,4.78
2021-05-19,4.85
2021-05-20,4.93
2021-05-21,5.02
2021-05-22,5.08
2021-05-23,5.11
2021-05-24,5.16
2021-05-25,5.23
2021-05-26,5.29
2021-05-27,5.36
2021-05-28,5.44
2021-05-29,5.48
2021-05-30,5.52
2021-05-31,5.58
2021-06-01,5.66
2021-06-02,5.74
2021-06-03,5.81
2021-06-04,5.9
2021-06-05,5.95
2021-06-06,6
2021-06-07,6.06
2021-06-08,6.15
2021-06-09,6.24
2021-06-10,6.33
2021-06-11,6.42
2021-06-12,6.48
2021-06-13,6.54
2021-06-14,6.62
2021-06-15,6.71
2021-06-16,6.81
2021-06-17,6.9
2021-06-18,7
2021-06-19,7.07
2021-06-20,7.13
2021-06-21,7.21
2021-06-22,7.3
2021-06-23,7.39
2021-06-24,7.5
2021-06-25,7.6
2021-06-26,7.68
2021-06-27,7.77
2021-06-28,7.85
2021-06-29,7.97
2021-06-30,8.07
2021-07-01,8.17
2021-07-02,8.27
2021-07-03,8.37
2021-07-04,8.44
2021-07-05,8.57
2021-07-06,8.67
2021-07-07,8.79
2021-07-08,8.93
2021-07-09,9.04
2021-07-10,9.14
2021-07-11,9.22
2021-07-12,9.34
2021-07-13,9.46
2021-07-14,9.58
2021-07-15,9.71
2021-07-16,9.85
2021-07-17,9.95
2021-07-18,10.01
2021-07-19,10.13
2021-07-20,10.24
2021-07-21,10.35
2021-07-22,10.48
2021-07-23,10.61
2021-07-24,10.7
2021-07-25,10.8
2021-07-26,10.94
2021-07-27,11.08
2021-07-28,11.21
2021-07-29,11.36
2021-07-30,11.5
2021-07-31,11.59
2021-08-01,11.68
2021-08-02,11.78
2021-08-03,11.94
2021-08-04,12.05
2021-08-05,12.17
2021-08-06,12.3
2021-08-07,12.4
2021-08-08,12.49
2021-08-09,12.67
2021-08-10,12.8
2021-08-11,12.93
2021-08-12,22.81
2021-08-13,22.98
2021-08-14,23.1
2021-08-15,23.17
2021-08-16,23.3
2021-08-17,23.44
2021-08-18,23.57
2021-08-19,23.71
2021-08-20,23.88
2021-08-21,23.97
2021-08-22,24.07
2021-08-23,24.18
2021-08-24,24.34
2021-08-25,24.5
2021-08-26,26.05
2021-08-27,26.26
2021-08-28,26.38
2021-08-29,26.53
2021-08-30,26.65
2021-08-31,26.82
2021-09-01,27
2021-09-02,27.14
2021-09-03,27.27
2021-09-04,27.39
2021-09-05,27.54
2021-09-06,28.65
2021-09-07,28.8
2021-09-08,29.01
2021-09-09,29.22
2021-09-10,29.37
2021-09-11,29.53
2021-09-12,29.67
2021-09-13,29.81
2021-09-14,29.96
2021-09-15,30.64
2021-09-16,30.8
2021-09-17,30.95
2021-09-18,31.26
2021-09-19,31.4
2021-09-20,31.53
2021-09-21,31.68
2021-09-22,31.82
2021-09-23,31.97
2021-09-24,32.13
2021-09-25,32.25
2021-09-26,32.35
2021-09-27,32.57
2021-09-28,33.02
2021-09-29,33.15
2021-09-30,33.31
2021-10-01,33.45
2021-10-02,33.57
2021-10-03,33.67
2021-10-04,33.81
2021-10-05,34.02
2021-10-06,34.16
2021-10-07,34.31
2021-10-08,34.5
2021-10-09,34.63
2021-10-10,34.79
2021-10-11,34.91
2021-10-12,35.05
2021-10-13,35.17
2021-10-14,35.29
2021-10-15,35.41
2021-10-16,35.49
2021-10-17,35.62
2021-10-18,35.79
2021-10-19,35.94
2021-10-20,36.11
2021-10-21,36.26
2021-10-22,36.41
2021-10-23,36.82
2021-10-24,36.96
2021-10-25,37.07
2021-10-26,37.21
2021-10-27,37.33
2021-10-28,37.48
2021-10-29,37.75
2021-10-30,37.93
2021-10-31,38.13
2021-11-01,38.24
2021-11-02,38.36
2021-11-03,38.48
2021-11-04,38.6
2021-11-05,38.77
2021-11-06,38.86
2021-11-07,38.96
2021-11-08,39.07
2021-11-09,39.21
2021-11-10,39.36
2021-11-11,39.52
2021-11-12,39.7
2021-11-13,39.87
2021-11-14,39.99
2021-11-15,40.1
2021-11-16,40.21
2021-11-17,40.35
2021-11-18,40.52
2021-11-19,40.68
2021-11-20,40.84
2021-11-21,40.96
2021-11-22,41.09
2021-11-23,41.22
2021-11-24,41.39
2021-11-25,41.49
2021-11-26,41.66
2021-11-27,41.76
2021-11-28,41.94
2021-11-29,42.48
2021-11-30,42.66
2021-12-01,42.82
2021-12-02,43.4
2021-12-03,43.7
2021-12-04,43.87
2021-12-05,43.99
2021-12-06,44.11
2021-12-07,44.23
2021-12-08,44.4
2021-12-09,44.61
2021-12-10,45.17
2021-12-11,45.38
2021-12-12,45.54
2021-12-13,45.64
2021-12-14,45.81
2021-12-15,45.95
2021-12-16,46.05
2021-12-17,46.5
2021-12-18,46.62
2021-12-19,46.81
2021-12-20,47
2021-12-21,47.13
2021-12-22,47.22
2021-12-23,47.34
2021-12-24,47.46
2021-12-25,47.69
2021-12-26,47.77
2021-12-27,47.85
2021-12-28,48.11
2021-12-29,48.25
2021-12-30,48.51
2021-12-31,48.64
2022-01-01,48.74
2022-01-02,48.78
2022-01-03,48.88
2022-01-04,49
2022-01-05,49.09
2022-01-06,49.25
2022-01-07,49.4
2022-01-08,49.45
2022-01-09,49.57
2022-01-10,49.85
2022-01-11,49.98
2022-01-12,50.07
2022-01-13,50.24
2022-01-14,50.36
2022-01-15,50.47
2022-01-16,50.57
2022-01-17,50.67
2022-01-18,50.74
2022-01-19,50.92
2022-01-20,51.02
2022-01-21,51.19
2022-01-22,51.28
2022-01-23,51.35
2022-01-24,51.42
2022-01-25,51.52
2022-01-26,51.6
2022-01-27,51.69
2022-01-28,51.84
2022-01-29,51.91
2022-01-30,52
2022-01-31,52.11
2022-02-01,52.21
2022-02-02,52.31
2022-02-03,52.38
2022-02-04,52.52
2022-02-05,52.6
2022-02-06,52.68
2022-02-07,52.75
2022-02-08,52.86
2022-02-09,52.97
2022-02-10,53.06
2022-02-11,53.19
2022-02-12,53.25
2022-02-13,53.37
2022-02-14,53.43
2022-02-15,53.55
2022-02-16,53.63
2022-02-17,53.71
2022-02-18,54.02
2022-02-19,54.13
2022-02-20,54.19
2022-02-21,54.3
2022-02-22,54.38
2022-02-23,54.45
2022-02-24,54.51
2022-02-25,54.6
2022-02-26,54.67
2022-02-27,54.7
2022-02-28,54.84
2022-03-01,54.88
2022-03-02,54.91
2022-03-03,54.98
2022-03-04,55.03
2022-03-05,55.12
2022-03-06,55.46
2022-03-07,55.51
2022-03-08,55.58
2022-03-09,55.65
2022-03-10,55.73
2022-03-11,55.78
2022-03-12,55.82
2022-03-13,55.9
2022-03-14,56.06
2022-03-15,56.12
2022-03-16,56.17
2022-03-17,56.22
2022-03-18,56.26
2022-03-19,56.28
2022-03-20,56.31
2022-03-21,56.37
2022-03-22,56.41
2022-03-23,56.47
2022-03-24,56.52
2022-03-25,56.54
2022-03-26,56.59
2022-03-27,56.65
2022-03-28,56.75
2022-03-29,56.85
2022-03-30,56.92
2022-03-31,57.16
2022-04-01,57.18
2022-04-02,57.19
2022-04-03,57.24
2022-04-04,57.28
2022-04-05,57.32
2022-04-06,57.35
2022-04-07,57.43
2022-04-08,57.46
2022-04-09,57.5
2022-04-10,57.6
2022-04-11,57.65
2022-04-12,57.69
2022-04-13,57.72
2022-04-14,57.74
2022-04-15,57.75
2022-04-16,57.76
2022-04-17,57.78
2022-04-18,57.84
2022-04-19,57.87
2022-04-20,57.89
2022-04-21,57.92
2022-04-22,57.95
2022-04-23,57.97
2022-04-24,58.01
2022-04-25,58.03
2022-04-26,58.12
2022-04-27,58.18
2022-04-28,58.22
2022-04-29,58.27
2022-04-30,58.3
2022-05-01,58.34
2022-05-02,58.35
2022-05-03,58.37
2022-05-04,58.38
2022-05-05,58.42
2022-05-06,58.45
2022-05-07,58.48
2022-05-08,58.53
2022-05-09,58.55
2022-05-10,58.58
2022-05-11,58.61
2022-05-12,58.65
2022-05-13,58.68
2022-05-14,58.7
2022-05-15,58.75
2022-05-16,58.76
2022-05-17,58.77
2022-05-18,58.8
2022-05-19,58.82
2022-05-20,58.85
2022-05-21,58.87
2022-05-22,58.94
2022-05-23,58.96
2022-05-24,59
2022-05-25,59.02
2022-05-26,59.06
2022-05-27,59.08
2022-05-28,59.1
2022-05-29,59.12
2022-05-30,59.14
2022-05-31,59.16
2022-06-01,59.2
2022-06-02,59.21
2022-06-03,59.23
2022-06-04,59.26
2022-06-05,59.31
2022-06-06,59.32
2022-06-07,59.34
2022-06-08,59.38
2022-06-09,59.41
2022-06-10,59.43
2022-06-11,59.44
2022-06-12,59.47
2022-06-13,59.48
2022-06-14,59.5
2022-06-15,59.53
2022-06-16,59.57
2022-06-17,59.6
2022-06-18,59.62
2022-06-19,59.77
2022-06-20,59.78
2022-06-21,59.8
2022-06-22,59.82
2022-06-23,59.85
2022-06-24,59.87
2022-06-25,59.89
2022-06-26,59.94
2022-06-27,59.97
2022-06-28,59.99
2022-06-29,60.03
2022-06-30,60.05
2022-07-01,60.07
2022-07-02,60.08
2022-07-03,60.16
2022-07-04,60.17
2022-07-05,60.18
2022-07-06,60.19
2022-07-07,60.24
2022-07-08,60.26
2022-07-09,60.26
2022-07-10,60.35
2022-07-11,60.36
2022-07-12,60.38
2022-07-13,60.4
2022-07-14,60.43
2022-07-15,60.44
2022-07-16,60.45
2022-07-17,60.52
2022-07-18,60.53
2022-07-19,60.57
2022-07-20,60.61
2022-07-21,60.64
2022-07-22,60.65
2022-07-23,60.66
2022-07-24,60.7
2022-07-25,60.71
2022-07-26,60.73
2022-07-27,60.76
2022-07-28,60.77
2022-07-29,60.78
2022-07-30,60.79
2022-07-31,60.93
2022-08-01,60.94
2022-08-02,60.95
2022-08-03,60.96
2022-08-04,60.98
2022-08-05,61
2022-08-06,61.01
2022-08-07,61.11
2022-08-08,61.13
2022-08-09,61.18
2022-08-10,61.19
2022-08-11,61.19
2022-08-12,61.2
2022-08-13,61.21
2022-08-14,61.3
2022-08-15,61.32
2022-08-16,61.33
2022-08-17,61.34
2022-08-18,61.36
2022-08-19,61.38
2022-08-20,61.38
2022-08-21,61.44
2022-08-22,61.46
2022-08-23,61.46
2022-08-24,61.47
2022-08-25,61.48
2022-08-26,61.49
2022-08-27,61.49
2022-08-28,61.53
2022-08-29,61.54
2022-08-30,61.55
2022-08-31,61.57
2022-09-01,61.58
2022-09-02,61.59
2022-09-03,61.59
2022-09-04,61.67
2022-09-05,61.67
2022-09-06,61.67
2022-09-07,61.71
2022-09-08,61.72
2022-09-09,61.73
2022-09-10,61.73
2022-09-11,61.74
2022-09-12,61.75
2022-09-13,61.77
2022-09-14,61.77
2022-09-15,61.79
2022-09-16,61.79
2022-09-17,61.8
2022-09-18,61.86
2022-09-19,61.87
2022-09-20,61.87
2022-09-21,61.87
2022-09-22,61.88
2022-09-23,61.89
2022-09-24,61.89
2022-09-25,61.95
2022-09-26,61.96
2022-09-27,61.96
2022-09-28,61.98
2022-09-29,61.99
2022-09-30,61.99
2022-10-01,62
2022-10-02,62.04
2022-10-03,62.04
2022-10-04,62.04
2022-10-05,62.06
2022-10-06,62.06
2022-10-07,62.09
2022-10-08,62.09
2022-10-09,62.22
2022-10-10,62.22
2022-10-11,62.24
2022-10-12,62.24
2022-10-13,62.25
2022-10-14,62.26
2022-10-15,62.26
2022-10-16,62.31
2022-10-17,62.32
2022-10-18,62.33
2022-10-19,62.33
2022-10-20,62.35
2022-10-21,62.35
2022-10-22,62.35
2022-10-23,62.38
2022-10-24,62.39
2022-10-25,62.39
2022-10-26,62.39
2022-10-27,62.4
2022-10-28,62.4
2022-10-29,62.4
2022-10-30,62.52
2022-10-31,62.52
2022-11-01,62.52
2022-11-02,62.52
2022-11-03,62.53
2022-11-04,62.53
2022-11-05,62.54
2022-11-06,62.56
2022-11-07,62.56
2022-11-08,62.57
2022-11-09,62.57
2022-11-10,62.57
2022-11-11,62.58
2022-11-12,62.58
2022-11-13,62.66
2022-11-14,62.67
2022-11-15,62.67
2022-11-16,62.67
2022-11-17,62.68
2022-11-18,62.69
2022-11-19,62.7
2022-11-20,62.75
2022-11-21,62.75
2022-11-22,62.75
2022-11-23,62.76
2022-11-24,62.76
2022-11-25,62.76
2022-11-26,62.76
2022-11-27,62.84
2022-11-28,62.86
2022-11-29,62.87
2022-11-30,62.88
2022-12-01,62.89
2022-12-02,62.89
2022-12-03,62.89
2022-12-04,62.91
2022-12-05,62.91
2022-12-06,62.93
2022-12-07,62.93
2022-12-08,62.93
2022-12-09,62.93
2022-12-10,62.93
2022-12-11,63.11
2022-12-12,63.12
2022-12-13,63.13
2022-12-14,63.14
2022-12-15,63.15
2022-12-16,63.15
2022-12-17,63.15
2022-12-18,63.21
2022-12-19,63.21
2022-12-20,63.22
2022-12-21,63.22
2022-12-22,63.23
2022-12-23,63.24
2022-12-24,63.24
2022-12-25,63.24
2022-12-26,63.24
2022-12-27,63.24
2022-12-28,63.24
2022-12-29,63.25
2022-12-30,63.25
2022-12-31,63.25
2023-01-01,63.26
2023-01-02,63.28
2023-01-03,63.28
2023-01-04,63.28
2023-01-05,63.29
2023-01-06,63.29
2023-01-07,63.29
2023-01-08,63.35
2023-01-09,63.35
2023-01-10,63.35
2023-01-11,63.38
2023-01-12,63.41
2023-01-13,63.41
2023-01-14,63.41
2023-01-15,63.43
2023-01-16,63.44
2023-01-17,63.46
2023-01-18,63.46
2023-01-19,63.46
2023-01-20,63.46
2023-01-21,63.46
2023-01-22,63.57
2023-01-23,63.58
2023-01-24,63.58
2023-01-25,63.6
2023-01-26,63.61
