collection_date,new_cases,source
2019-12-01,0,NEJM_Li2020
2019-12-02,0,NEJM_Li2020
2019-12-03,0,NEJM_Li2020
2019-12-04,0,NEJM_Li2020
2019-12-05,0,NEJM_Li2020
2019-12-06,0,NEJM_Li2020
2019-12-07,0,NEJM_Li2020
2019-12-08,1,NEJM_Li2020
2019-12-09,0,NEJM_Li2020
2019-12-10,1,NEJM_Li2020
2019-12-11,0,NEJM_Li2020
2019-12-12,0,NEJM_Li2020
2019-12-13,1,NEJM_Li2020
2019-12-14,0,NEJM_Li2020
2019-12-15,2,NEJM_Li2020
2019-12-16,1,NEJM_Li2020
2019-12-17,1,NEJM_Li2020
2019-12-18,0,NEJM_Li2020
2019-12-19,2,NEJM_Li2020
2019-12-20,4,NEJM_Li2020
2019-12-21,4,NEJM_Li2020
2019-12-22,3,NEJM_Li2020
2019-12-23,4,NEJM_Li2020
2019-12-24,0,NEJM_Li2020
2019-12-25,4,NEJM_Li2020
2019-12-26,1,NEJM_Li2020
2019-12-27,3,NEJM_Li2020
2019-12-28,2,NEJM_Li2020
2019-12-29,11,NEJM_Li2020
2019-12-30,10,NEJM_Li2020
2019-12-31,2,NEJM_Li2020
2020-01-01,10,NEJM_Li2020
2020-01-02,7,NEJM_Li2020
2020-01-03,13,NEJM_Li2020
2020-01-04,13,NEJM_Li2020
2020-01-05,15,NEJM_Li2020
2020-01-06,19,NEJM_Li2020
2020-01-07,31,NEJM_Li2020
2020-01-08,45,NEJM_Li2020
2020-01-09,32,NEJM_Li2020
2020-01-10,33,NEJM_Li2020
2020-01-11,33,NEJM_Li2020
2020-01-12,30,NEJM_Li2020
2020-01-13,22,NEJM_Li2020
2020-01-14,23,NEJM_Li2020
2020-01-15,23,NEJM_Li2020
2020-01-16,13,NEJM_Li2020
2020-01-17,6,NEJM_Li2020
2020-01-18,6,NEJM_Li2020
2020-01-19,2,NEJM_Li2020
2020-01-20,3,NEJM_Li2020
2020-01-21,2,NEJM_Li2020
