collection_date,new_cases,total_cases
2020-01-22,147,451
2020-01-23,135,586
2020-01-24,263,849
2020-01-25,473,1322
2020-01-26,706,2028
2020-01-27,778,2806
2020-01-28,1787,4593
2020-01-29,1469,6062
2020-01-30,1758,7820
2020-01-31,2002,9822
2020-02-01,2118,11940
2020-02-02,2618,14558
2020-02-03,2836,17394
2020-02-04,3243,20637
2020-02-05,3942,24579
2020-02-06,3712,28291
2020-02-07,3159,31446
2020-02-08,3401,34847
2020-02-09,2699,37546
2020-02-10,2993,40539
2020-02-11,2479,43018
2020-02-12,2030,45048
2020-02-13,15168,60216
2020-02-14,4068,64284
2020-02-15,2664,66948
2020-02-16,2040,68988
2020-02-17,2063,71051
2020-02-18,1904,72955
2020-02-19,1799,74754
2020-02-20,424,75178
2020-02-21,994,76172
2020-02-22,1068,77240
2020-02-23,990,78230
2020-02-24,516,78746
2020-02-25,798,79544
2020-02-26,845,80389
2020-02-27,1089,81478
2020-02-28,1202,82680
2020-02-29,1816,84496
2020-03-01,2002,86498
2020-03-02,1944,88442
2020-03-03,1788,90230
2020-03-04,2219,92449
2020-03-05,2165,94614
2020-03-06,2491,97105
2020-03-07,3244,100349
2020-03-08,6350,106699
2020-03-09,3272,109971
2020-03-10,3861,113832
2020-03-11,3929,117761
2020-03-12,6004,123765
2020-03-13,6735,130500
2020-03-14,7328,137828
2020-03-15,29308,167136
2020-03-16,8569,175705
2020-03-17,10349,186054
2020-03-18,11530,197584
2020-03-19,14171,211755
2020-03-20,17032,228787
2020-03-21,20487,249274
2020-03-22,89130,338404
2020-03-23,22444,360848
2020-03-24,26536,387384
2020-03-25,30003,417387
2020-03-26,31274,448661
2020-03-27,37991,486652
2020-03-28,44649,531301
2020-03-29,158473,689774
2020-03-30,43204,732978
2020-03-31,49018,781863
2020-04-01,43898,825761
2020-04-02,52032,877793
2020-04-03,58901,936694
2020-04-04,60785,997479
2020-04-05,158397,1155876
2020-04-06,59771,1215647
2020-04-07,54651,1270298
2020-04-08,60368,1330666
2020-04-09,63571,1394237
2020-04-10,69610,1463847
2020-04-11,72686,1536533
2020-04-12,143412,1679945
2020-04-13,64312,1744257
2020-04-14,57658,1801915
2020-04-15,57141,1859027
2020-04-16,62461,1921488
2020-04-17,67012,1988500
2020-04-18,73957,2062457
2020-04-19,124254,2186711
2020-04-20,66360,2253071
2020-04-21,64586,2317657
2020-04-22,65251,2382908
2020-04-23,66868,2449776
2020-04-24,72469,2522245
2020-04-25,89145,2611390
2020-04-26,115307,2726697
2020-04-27,76030,2802727
2020-04-28,65238,2867965
2020-04-29,65101,2933066
2020-04-30,70626,3003692
2020-05-01,75957,3079649
2020-05-02,83731,3163380
2020-05-03,108743,3272123
2020-05-04,77573,3349696
2020-05-05,76371,3426067
2020-05-06,72591,3498658
2020-05-07,77516,3573713
2020-05-08,84826,3658539
2020-05-09,88969,3746028
2020-05-10,107323,3853351
2020-05-11,85706,3939057
2020-05-12,70334,4009341
2020-05-13,75931,4085272
2020-05-14,82894,4168146
2020-05-15,83845,4251991
2020-05-16,98815,4350806
2020-05-17,112741,4463547
2020-05-18,93696,4557243
2020-05-19,76644,4633887
2020-05-20,91701,4725588
2020-05-21,100232,4825820
2020-05-22,105370,4931190
2020-05-23,103881,5035071
2020-05-24,124858,5159929
2020-05-25,95475,5255404
2020-05-26,91086,5346490
2020-05-27,87109,5433599
2020-05-28,96445,5530044
2020-05-29,105497,5635541
2020-05-30,117841,5753382
2020-05-31,135117,5888499
2020-06-01,125084,6013583
2020-06-02,107112,6120695
2020-06-03,96780,6217475
2020-06-04,121579,6339054
2020-06-05,124006,6463060
2020-06-06,124543,6587602
2020-06-07,144801,6732403
2020-06-08,123249,6855652
2020-06-09,107746,6963398
2020-06-10,106507,7069905
2020-06-11,128974,7198879
2020-06-12,138097,7336976
2020-06-13,139072,7476048
2020-06-14,157714,7633762
2020-06-15,130201,7763963
2020-06-16,116521,7880484
2020-06-17,120729,8001213
2020-06-18,179421,8180634
2020-06-19,144450,8325084
2020-06-20,140018,8465102
2020-06-21,197644,8662746
2020-06-22,152308,8815054
2020-06-23,128045,8943099
2020-06-24,138244,9081343
2020-06-25,170081,9251424
2020-06-26,176536,9427960
2020-06-27,182223,9610182
2020-06-28,209013,9819195
2020-06-29,175516,9994711
2020-06-30,155773,10150484
2020-07-01,166706,10317190
2020-07-02,181036,10498226
2020-07-03,208023,10706249
2020-07-04,210685,10916934
2020-07-05,229608,11146542
2020-07-06,187945,11334487
2020-07-07,164242,11498729
2020-07-08,172968,11671697
2020-07-09,210702,11882399
2020-07-10,222028,12104427
2020-07-11,218570,12322997
2020-07-12,250396,12573393
2020-07-13,215359,12788752
2020-07-14,190628,12979380
2020-07-15,188729,13168109
2020-07-16,227124,13395233
2020-07-17,239778,13635011
2020-07-18,241803,13876814
2020-07-19,269265,14146079
2020-07-20,226068,14372147
2020-07-21,200910,14573057
2020-07-22,204804,14777861
2020-07-23,243383,15021244
2020-07-24,285219,15306463
2020-07-25,277084,15583547
2020-07-26,303821,15887368
2020-07-27,247703,16135071
2020-07-28,211206,16346277
2020-07-29,223059,16569336
2020-07-30,254496,16823832
2020-07-31,293862,17117694
2020-08-01,283541,17401235
2020-08-02,324754,17725989
2020-08-03,249017,17975006
2020-08-04,218114,18193120
2020-08-05,212305,18405425
2020-08-06,263309,18668734
2020-08-07,281889,18950623
2020-08-08,272656,19223279
2020-08-09,340747,19564026
2020-08-10,253516,19817542
2020-08-11,212304,20029846
2020-08-12,220898,20250744
2020-08-13,280312,20531056
2020-08-14,279096,20810152
2020-08-15,284273,21094425
2020-08-16,354499,21448924
2020-08-17,241475,21690399
2020-08-18,210777,21901176
2020-08-19,220334,22121510
2020-08-20,264466,22385976
2020-08-21,271798,22657774
2020-08-22,262817,22920591
2020-08-23,351479,23272070
2020-08-24,245238,23517308
2020-08-25,210744,23728052
2020-08-26,217709,23945761
2020-08-27,267255,24213016
2020-08-28,271846,24484862
2020-08-29,267702,24752564
2020-08-30,394215,25146779
2020-08-31,256751,25403530
2020-09-01,209583,25613113
2020-09-02,254567,25867680
2020-09-03,266126,26133806
2020-09-04,277886,26411692
2020-09-05,277270,26688962
2020-09-06,442284,27131246
2020-09-07,255752,27378737
2020-09-08,214376,27593113
2020-09-09,221256,27814369
2020-09-10,246495,28060864
2020-09-11,276331,28337195
2020-09-12,282947,28620142
2020-09-13,467097,29087239
2020-09-14,264279,29351518
2020-09-15,228991,29580509
2020-09-16,244954,29825463
2020-09-17,278106,30103569
2020-09-18,291842,30395411
2020-09-19,286413,30681824
2020-09-20,501156,31182980
2020-09-21,264915,31447895
2020-09-22,225803,31673698
2020-09-23,251940,31925638
2020-09-24,291305,32216943
2020-09-25,286577,32503520
2020-09-26,286993,32790513
2020-09-27,496166,33286679
2020-09-28,263426,33550105
2020-09-29,223931,33774036
2020-09-30,253886,34027922
2020-10-01,290593,34318515
2020-10-02,298043,34616558
2020-10-03,294188,34910746
2020-10-04,508808,35419554
2020-10-05,272957,35692511
2020-10-06,229823,35922334
2020-10-07,272196,36194525
2020-10-08,321252,36515776
2020-10-09,314108,36829884
2020-10-10,320238,37150122
2020-10-11,634315,37784437
2020-10-12,284827,38069264
2020-10-13,253371,38322635
2020-10-14,292388,38615023
2020-10-15,314297,38929320
2020-10-16,339222,39268541
2020-10-17,341037,39609578
2020-10-18,772962,40382540
2020-10-19,303580,40686120
2020-10-20,273645,40959765
2020-10-21,342730,41302495
2020-10-22,370939,41673434
2020-10-23,386150,42059584
2020-10-24,391423,42451007
2020-10-25,1022303,43473310
2020-10-26,352021,43825331
2020-10-27,303870,44129201
2020-10-28,385701,44514902
2020-10-29,417499,44932401
2020-10-30,428492,45360893
2020-10-31,437224,45798117
2020-11-01,1201547,46999664
2020-11-02,379752,47379416
2020-11-03,406820,47786236
2020-11-04,413829,48200065
2020-11-05,447972,48648037
2020-11-06,482035,49130072
2020-11-07,490015,49620087
2020-11-08,1237024,50857111
2020-11-09,441125,51298236
2020-11-10,396106,51694342
2020-11-11,465225,52159567
2020-11-12,512680,52672247
2020-11-13,544349,53216596
2020-11-14,537604,53754200
2020-11-15,1152026,54906226
2020-11-16,478280,55384506
2020-11-17,420211,55804717
2020-11-18,473072,56277789
2020-11-19,537894,56815683
2020-11-20,544408,57360091
2020-11-21,552670,57912761
2020-11-22,1104097,59016858
2020-11-23,483692,59500550
2020-11-24,427111,59927661
2020-11-25,482379,60410040
2020-11-26,527370,60937410
2020-11-27,584198,61521608
2020-11-28,517623,62039231
2020-11-29,999639,63038870
2020-11-30,473479,63512349
2020-12-01,433213,63945562
2020-12-02,482751,64428313
2020-12-03,570463,64998776
2020-12-04,594921,65593697
2020-12-05,597492,66191189
2020-12-06,1048340,67239529
