TimelineLabel,name,bins,countMutations
Dec-19,aa.geq1,Dec-19 to Mar-20,2
Dec-19,aa.geqpt01,Dec-19 to Mar-20,4
Dec-19,aa.geqpt1,Dec-19 to Mar-20,3
Dec-19,nt.geq1,Dec-19 to Mar-20,2
Dec-19,nt.geqpt01,Dec-19 to Mar-20,7
Dec-19,nt.geqpt1,Dec-19 to Mar-20,4
Jan-20,aa.geq1,Dec-19 to Mar-20,25
Jan-20,aa.geqpt01,Dec-19 to Mar-20,192
Jan-20,aa.geqpt1,Dec-19 to Mar-20,94
Jan-20,nt.geq1,Dec-19 to Mar-20,37
Jan-20,nt.geqpt01,Dec-19 to Mar-20,383
Jan-20,nt.geqpt1,Dec-19 to Mar-20,172
Feb-20,aa.geq1,Dec-19 to Mar-20,20
Feb-20,aa.geqpt01,Dec-19 to Mar-20,339
Feb-20,aa.geqpt1,Dec-19 to Mar-20,119
Feb-20,nt.geq1,Dec-19 to Mar-20,37
Feb-20,nt.geqpt01,Dec-19 to Mar-20,643
Feb-20,nt.geqpt1,Dec-19 to Mar-20,263
Mar-20,aa.geq1,Dec-19 to Mar-20,66
Mar-20,aa.geqpt01,Dec-19 to Mar-20,2925
Mar-20,aa.geqpt1,Dec-19 to Mar-20,618
Mar-20,nt.geq1,Dec-19 to Mar-20,105
Mar-20,nt.geqpt01,Dec-19 to Mar-20,5086
Mar-20,nt.geqpt1,Dec-19 to Mar-20,1137
Apr-20,aa.geq1,Rest,19
Apr-20,aa.geqpt01,Rest,979
Apr-20,aa.geqpt1,Rest,89
Apr-20,nt.geq1,Rest,24
Apr-20,nt.geqpt01,Rest,1779
Apr-20,nt.geqpt1,Rest,140
May-20,aa.geq1,Rest,1
May-20,aa.geqpt01,Rest,317
May-20,aa.geqpt1,Rest,23
May-20,nt.geq1,Rest,2
May-20,nt.geqpt01,Rest,623
May-20,nt.geqpt1,Rest,43
Jun-20,aa.geq1,Rest,7
Jun-20,aa.geqpt01,Rest,226
Jun-20,aa.geqpt1,Rest,21
Jun-20,nt.geq1,Rest,7
Jun-20,nt.geqpt01,Rest,434
Jun-20,nt.geqpt1,Rest,33
Jul-20,aa.geq1,Rest,8
Jul-20,aa.geqpt01,Rest,175
Jul-20,aa.geqpt1,Rest,19
Jul-20,nt.geq1,Rest,9
Jul-20,nt.geqpt01,Rest,334
Jul-20,nt.geqpt1,Rest,32
Aug-20,aa.geq1,Rest,5
Aug-20,aa.geqpt01,Rest,124
Aug-20,aa.geqpt1,Rest,12
Aug-20,nt.geq1,Rest,7
Aug-20,nt.geqpt01,Rest,233
Aug-20,nt.geqpt1,Rest,16
Sep-20,aa.geq1,Rest,3
Sep-20,aa.geqpt01,Rest,72
Sep-20,aa.geqpt1,Rest,10
Sep-20,nt.geq1,Rest,4
Sep-20,nt.geqpt01,Rest,147
Sep-20,nt.geqpt1,Rest,15
Oct-20,aa.geq1,Rest,3
Oct-20,aa.geqpt01,Rest,80
Oct-20,aa.geqpt1,Rest,10
Oct-20,nt.geq1,Rest,3
Oct-20,nt.geqpt01,Rest,140
Oct-20,nt.geqpt1,Rest,14
Nov-20,aa.geq1,Rest,1
Nov-20,aa.geqpt01,Rest,66
Nov-20,aa.geqpt1,Rest,9
Nov-20,nt.geq1,Rest,2
Nov-20,nt.geqpt01,Rest,117
Nov-20,nt.geqpt1,Rest,14
Dec-20,aa.geq1,Rest,1
Dec-20,aa.geqpt01,Rest,54
Dec-20,aa.geqpt1,Rest,5
Dec-20,nt.geq1,Rest,2
Dec-20,nt.geqpt01,Rest,82
Dec-20,nt.geqpt1,Rest,7
Jan-21,aa.geq1,Rest,1
Jan-21,aa.geqpt01,Rest,33
Jan-21,aa.geqpt1,Rest,8
Jan-21,nt.geq1,Rest,1
Jan-21,nt.geqpt01,Rest,48
Jan-21,nt.geqpt1,Rest,7
Feb-21,aa.geq1,Rest,1
Feb-21,aa.geqpt01,Rest,13
Feb-21,aa.geqpt1,Rest,4
Feb-21,nt.geq1,Rest,1
Feb-21,nt.geqpt01,Rest,25
Feb-21,nt.geqpt1,Rest,6
Mar-21,aa.geq1,Rest,1
Mar-21,aa.geqpt01,Rest,14
Mar-21,aa.geqpt1,Rest,2
Mar-21,nt.geq1,Rest,1
Mar-21,nt.geqpt01,Rest,22
Mar-21,nt.geqpt1,Rest,3
Apr-21,aa.geq1,Rest,0
Apr-21,aa.geqpt01,Rest,11
Apr-21,aa.geqpt1,Rest,0
Apr-21,nt.geq1,Rest,0
Apr-21,nt.geqpt01,Rest,14
Apr-21,nt.geqpt1,Rest,1
May-21,aa.geq1,Rest,0
May-21,aa.geqpt01,Rest,4
May-21,aa.geqpt1,Rest,1
May-21,nt.geq1,Rest,0
May-21,nt.geqpt01,Rest,5
May-21,nt.geqpt1,Rest,1
Jun-21,aa.geq1,Rest,1
Jun-21,aa.geqpt01,Rest,9
Jun-21,aa.geqpt1,Rest,2
Jun-21,nt.geq1,Rest,1
Jun-21,nt.geqpt01,Rest,6
Jun-21,nt.geqpt1,Rest,1
Jul-21,aa.geq1,Rest,0
Jul-21,aa.geqpt01,Rest,3
Jul-21,aa.geqpt1,Rest,0
Jul-21,nt.geq1,Rest,0
Jul-21,nt.geqpt01,Rest,3
Jul-21,nt.geqpt1,Rest,0
Aug-21,aa.geq1,Rest,0
Aug-21,aa.geqpt01,Rest,0
Aug-21,aa.geqpt1,Rest,0
Aug-21,nt.geq1,Rest,0
Aug-21,nt.geqpt01,Rest,1
Aug-21,nt.geqpt1,Rest,1
Sep-21,aa.geq1,Rest,0
Sep-21,aa.geqpt01,Rest,1
Sep-21,aa.geqpt1,Rest,0
Sep-21,nt.geq1,Rest,0
Sep-21,nt.geqpt01,Rest,1
Sep-21,nt.geqpt1,Rest,0
Oct-21,aa.geq1,Rest,0
Oct-21,aa.geqpt01,Rest,2
Oct-21,aa.geqpt1,Rest,1
Oct-21,nt.geq1,Rest,0
Oct-21,nt.geqpt01,Rest,0
Oct-21,nt.geqpt1,Rest,0
Nov-21,aa.geq1,Rest,0
Nov-21,aa.geqpt01,Rest,1
Nov-21,aa.geqpt1,Rest,0
Nov-21,nt.geq1,Rest,1
Nov-21,nt.geqpt01,Rest,1
Nov-21,nt.geqpt1,Rest,1
Dec-21,aa.geq1,Rest,1
Dec-21,aa.geqpt01,Rest,1
Dec-21,aa.geqpt1,Rest,1
Dec-21,nt.geq1,Rest,0
Dec-21,nt.geqpt01,Rest,0
Dec-21,nt.geqpt1,Rest,0
Jan-22,aa.geq1,Rest,0
Jan-22,aa.geqpt01,Rest,1
Jan-22,aa.geqpt1,Rest,0
Jan-22,nt.geq1,Rest,0
Jan-22,nt.geqpt01,Rest,0
Jan-22,nt.geqpt1,Rest,0
Feb-22,aa.geq1,Rest,0
Feb-22,aa.geqpt01,Rest,1
Feb-22,aa.geqpt1,Rest,0
Feb-22,nt.geq1,Rest,0
Feb-22,nt.geqpt01,Rest,0
Feb-22,nt.geqpt1,Rest,0
Mar-22,aa.geq1,Rest,0
Mar-22,aa.geqpt01,Rest,0
Mar-22,aa.geqpt1,Rest,0
Mar-22,nt.geq1,Rest,0
Mar-22,nt.geqpt01,Rest,0
Mar-22,nt.geqpt1,Rest,0
Apr-22,aa.geq1,Rest,0
Apr-22,aa.geqpt01,Rest,1
Apr-22,aa.geqpt1,Rest,0
Apr-22,nt.geq1,Rest,0
Apr-22,nt.geqpt01,Rest,0
Apr-22,nt.geqpt1,Rest,0
May-22,aa.geq1,Rest,0
May-22,aa.geqpt01,Rest,0
May-22,aa.geqpt1,Rest,0
May-22,nt.geq1,Rest,0
May-22,nt.geqpt01,Rest,0
May-22,nt.geqpt1,Rest,0
Jun-22,aa.geq1,Rest,0
Jun-22,aa.geqpt01,Rest,0
Jun-22,aa.geqpt1,Rest,0
Jun-22,nt.geq1,Rest,0
Jun-22,nt.geqpt01,Rest,0
Jun-22,nt.geqpt1,Rest,0
Jul-22,aa.geq1,Rest,0
Jul-22,aa.geqpt01,Rest,1
Jul-22,aa.geqpt1,Rest,1
Jul-22,nt.geq1,Rest,0
Jul-22,nt.geqpt01,Rest,0
Jul-22,nt.geqpt1,Rest,0
Aug-22,aa.geq1,Rest,0
Aug-22,aa.geqpt01,Rest,1
Aug-22,aa.geqpt1,Rest,1
Aug-22,nt.geq1,Rest,0
Aug-22,nt.geqpt01,Rest,0
Aug-22,nt.geqpt1,Rest,0
Sep-22,aa.geq1,Rest,0
Sep-22,aa.geqpt01,Rest,0
Sep-22,aa.geqpt1,Rest,0
Sep-22,nt.geq1,Rest,0
Sep-22,nt.geqpt01,Rest,0
Sep-22,nt.geqpt1,Rest,0
Oct-22,aa.geq1,Rest,0
Oct-22,aa.geqpt01,Rest,0
Oct-22,aa.geqpt1,Rest,0
Oct-22,nt.geq1,Rest,0
