period,freq_bin,n,pct
Dec-19,"(0.01%,0.1%]",3,0.428571428571429
Dec-19,"(0.1%,1%]",2,0.285714285714286
Dec-19,"(1%,10%]",2,0.285714285714286
Jan-20,"(0.01%,0.1%]",211,0.550913838120104
Jan-20,"(0.1%,1%]",135,0.352480417754569
Jan-20,"(1%,10%]",27,0.0704960835509138
Jan-20,"(10%,100%]",10,0.0261096605744125
Feb-20,"(0.01%,0.1%]",380,0.590979782270607
Feb-20,"(0.1%,1%]",226,0.351477449455677
Feb-20,"(1%,10%]",30,0.046656298600311
Feb-20,"(10%,100%]",7,0.0108864696734059
Mar-20,"(0.01%,0.1%]",3949,0.776445143531262
Mar-20,"(0.1%,1%]",1032,0.202909948879276
Mar-20,"(1%,10%]",74,0.0145497443963822
Mar-20,"(10%,100%]",31,0.00609516319307904
Apr-20,"(0.01%,0.1%]",1639,0.921304103428893
Apr-20,"(0.1%,1%]",116,0.0652051714446318
Apr-20,"(1%,10%]",17,0.00955593029792018
Apr-20,"(10%,100%]",7,0.00393479482855537
May-20,"(0.01%,0.1%]",580,0.930979133226324
May-20,"(0.1%,1%]",41,0.0658105939004815
May-20,"(1%,10%]",2,0.00321027287319422
Jun-20,"(0.01%,0.1%]",401,0.923963133640553
Jun-20,"(0.1%,1%]",26,0.0599078341013825
Jun-20,"(1%,10%]",5,0.0115207373271889
Jun-20,"(10%,100%]",2,0.00460829493087558
Jul-20 to Dec-20,"(0.01%,0.1%]",955,0.90693257359924
Jul-20 to Dec-20,"(0.1%,1%]",71,0.0674264007597341
Jul-20 to Dec-20,"(1%,10%]",23,0.0218423551756885
Jul-20 to Dec-20,"(10%,100%]",4,0.00379867046533713
Jan-21 to Jun-21,"(0.01%,0.1%]",101,0.841666666666667
Jan-21 to Jun-21,"(0.1%,1%]",15,0.125
Jan-21 to Jun-21,"(1%,10%]",4,0.0333333333333333
Jul-21 to Dec-21,"(0.01%,0.1%]",4,0.666666666666667
Jul-21 to Dec-21,"(0.1%,1%]",1,0.166666666666667
Jul-21 to Dec-21,"(1%,10%]",1,0.166666666666667
Jan-24 to Jun-24,"(0.01%,0.1%]",1,1
