period,freq_bin,n,pct
Dec-19,"(0.01%,0.1%]",1,0.25
Dec-19,"(0.1%,1%]",1,0.25
Dec-19,"(1%,10%]",2,0.5
Jan-20,"(0.01%,0.1%]",98,0.510416666666667
Jan-20,"(0.1%,1%]",69,0.359375
Jan-20,"(1%,10%]",18,0.09375
Jan-20,"(10%,100%]",7,0.0364583333333333
Feb-20,"(0.01%,0.1%]",220,0.648967551622419
Feb-20,"(0.1%,1%]",99,0.292035398230089
Feb-20,"(1%,10%]",15,0.0442477876106195
Feb-20,"(10%,100%]",5,0.0147492625368732
Mar-20,"(0.01%,0.1%]",2307,0.788717948717949
Mar-20,"(0.1%,1%]",552,0.188717948717949
Mar-20,"(1%,10%]",41,0.014017094017094
Mar-20,"(10%,100%]",25,0.00854700854700855
Apr-20,"(0.01%,0.1%]",890,0.909090909090909
Apr-20,"(0.1%,1%]",70,0.0715015321756895
Apr-20,"(1%,10%]",14,0.0143003064351379
Apr-20,"(10%,100%]",5,0.00510725229826353
May-20,"(0.01%,0.1%]",294,0.927444794952681
May-20,"(0.1%,1%]",22,0.0694006309148265
May-20,"(1%,10%]",1,0.00315457413249211
Jun-20,"(0.01%,0.1%]",205,0.907079646017699
Jun-20,"(0.1%,1%]",14,0.0619469026548673
Jun-20,"(1%,10%]",6,0.0265486725663717
Jun-20,"(10%,100%]",1,0.00442477876106195
Jul-20 to Dec-20,"(0.01%,0.1%]",506,0.886164623467601
Jul-20 to Dec-20,"(0.1%,1%]",44,0.0770577933450088
Jul-20 to Dec-20,"(1%,10%]",16,0.0280210157618214
Jul-20 to Dec-20,"(10%,100%]",5,0.00875656742556918
Jan-21 to Jun-21,"(0.01%,0.1%]",67,0.797619047619048
Jan-21 to Jun-21,"(0.1%,1%]",13,0.154761904761905
Jan-21 to Jun-21,"(1%,10%]",4,0.0476190476190476
Jul-21 to Dec-21,"(0.01%,0.1%]",6,0.75
Jul-21 to Dec-21,"(0.1%,1%]",1,0.125
Jul-21 to Dec-21,"(1%,10%]",1,0.125
Jan-22 to Jun-22,"(0.01%,0.1%]",3,1
Jul-22 to Dec-22,"(0.1%,1%]",2,1
Jul-23 to Dec-23,"(0.1%,1%]",1,1
Jan-24 to Jun-24,"(0.01%,0.1%]",1,1
Jul-24 to Dec-24,"(0.01%,0.1%]",1,1
