period,gene_group,n,pct
Dec-19,Rest,3,1
Jan-20,Rest,76,0.808510638297872
Jan-20,Spike,18,0.191489361702128
Feb-20,Rest,99,0.831932773109244
Feb-20,Spike,20,0.168067226890756
Mar-20,Rest,515,0.833333333333333
Mar-20,Spike,103,0.166666666666667
Apr-20,Rest,57,0.640449438202247
Apr-20,Spike,32,0.359550561797753
May-20,Rest,18,0.782608695652174
May-20,Spike,5,0.217391304347826
Jun-20,Rest,13,0.619047619047619
Jun-20,Spike,8,0.380952380952381
Jul-20 to Dec-20,Rest,47,0.723076923076923
Jul-20 to Dec-20,Spike,18,0.276923076923077
Jan-21 to Jun-21,Rest,5,0.294117647058824
Jan-21 to Jun-21,Spike,12,0.705882352941177
Jul-21 to Dec-21,Spike,2,1
Jul-22 to Dec-22,Spike,2,1
Jul-23 to Dec-23,Spike,1,1
