collection_date,cum_seqs,cum_cases,cum_seqs_M,cum_cases_M
2019-12-05,1,0,1e-06,0
2019-12-24,2,24,2e-06,2.4e-05
2019-12-26,3,29,3e-06,2.9e-05
2019-12-30,23,55,2.3e-05,5.5e-05
2019-12-31,25,57,2.5e-05,5.7e-05
2020-01-01,96,67,9.6e-05,6.7e-05
2020-01-02,99,74,9.9e-05,7.4e-05
2020-01-03,110,87,0.00011,8.7e-05
2020-01-04,111,100,0.000111,1e-04
2020-01-05,114,115,0.000114,0.000115
2020-01-08,118,210,0.000118,0.00021
2020-01-09,120,242,0.00012,0.000242
2020-01-10,161,275,0.000161,0.000275
2020-01-11,164,308,0.000164,0.000308
2020-01-12,234,338,0.000234,0.000338
2020-01-13,241,360,0.000241,0.00036
2020-01-14,246,383,0.000246,0.000383
2020-01-15,252,406,0.000252,0.000406
2020-01-16,266,419,0.000266,0.000419
2020-01-17,273,425,0.000273,0.000425
2020-01-18,280,431,0.00028,0.000431
2020-01-19,304,433,0.000304,0.000433
2020-01-20,317,436,0.000317,0.000436
2020-01-21,349,438,0.000349,0.000438
2020-01-22,401,585,0.000401,0.000585
2020-01-23,450,720,0.00045,0.00072
2020-01-24,501,983,0.000501,0.000983
2020-01-25,573,1456,0.000573,0.001456
2020-01-26,643,2162,0.000643,0.002162
2020-01-27,702,2940,0.000702,0.00294
2020-01-28,742,4727,0.000742,0.004727
2020-01-29,830,6196,0.00083,0.006196
2020-01-30,904,7954,0.000904,0.007954
2020-01-31,964,9956,0.000964,0.009956
2020-02-01,1032,12074,0.001032,0.012074
2020-02-02,1110,14692,0.00111,0.014692
2020-02-03,1183,17528,0.001183,0.017528
2020-02-04,1236,20771,0.001236,0.020771
2020-02-05,1301,24713,0.001301,0.024713
2020-02-06,1367,28425,0.001367,0.028425
2020-02-07,1429,31584,0.001429,0.031584
2020-02-08,1496,34985,0.001496,0.034985
2020-02-09,1578,37684,0.001578,0.037684
2020-02-10,1634,40677,0.001634,0.040677
2020-02-11,1687,43156,0.001687,0.043156
2020-02-12,1729,45186,0.001729,0.045186
2020-02-13,1762,60354,0.001762,0.060354
2020-02-14,1796,64422,0.001796,0.064422
2020-02-15,1875,67086,0.001875,0.067086
2020-02-16,1926,69126,0.001926,0.069126
2020-02-17,1999,71189,0.001999,0.071189
2020-02-18,2042,73093,0.002042,0.073093
2020-02-19,2090,74892,0.00209,0.074892
2020-02-20,2163,75316,0.002163,0.075316
2020-02-21,2232,76310,0.002232,0.07631
2020-02-22,2303,77378,0.002303,0.077378
2020-02-23,2367,78368,0.002367,0.078368
2020-02-24,2460,78884,0.00246,0.078884
2020-02-25,2562,79682,0.002562,0.079682
2020-02-26,2670,80527,0.00267,0.080527
2020-02-27,2812,81616,0.002812,0.081616
2020-02-28,3035,82818,0.003035,0.082818
2020-02-29,3223,84634,0.003223,0.084634
2020-03-01,3491,86636,0.003491,0.086636
2020-03-02,3914,88580,0.003914,0.08858
2020-03-03,4379,90368,0.004379,0.090368
2020-03-04,4915,92587,0.004915,0.092587
2020-03-05,5499,94752,0.005499,0.094752
2020-03-06,6020,97243,0.00602,0.097243
2020-03-07,6510,100487,0.00651,0.100487
2020-03-08,7082,106837,0.007082,0.106837
2020-03-09,8226,110109,0.008226,0.110109
2020-03-10,9342,113970,0.009342,0.11397
2020-03-11,10565,117899,0.010565,0.117899
2020-03-12,11994,123903,0.011994,0.123903
2020-03-13,13624,130638,0.013624,0.130638
2020-03-14,15129,137966,0.015129,0.137966
2020-03-15,16887,167274,0.016887,0.167274
2020-03-16,19397,175843,0.019397,0.175843
2020-03-17,21824,186192,0.021824,0.186192
2020-03-18,24355,197722,0.024355,0.197722
2020-03-19,26834,211893,0.026834,0.211893
2020-03-20,29434,228925,0.029434,0.228925
2020-03-21,31500,249412,0.0315,0.249412
2020-03-22,33655,338542,0.033655,0.338542
2020-03-23,36966,360986,0.036966,0.360986
2020-03-24,40261,387522,0.040261,0.387522
2020-03-25,43479,417525,0.043479,0.417525
2020-03-26,46744,448799,0.046744,0.448799
2020-03-27,50057,486790,0.050057,0.48679
2020-03-28,52648,531439,0.052648,0.531439
2020-03-29,54935,689912,0.054935,0.689912
2020-03-30,58521,733116,0.058521,0.733116
2020-03-31,61852,782134,0.061852,0.782134
2020-04-01,65231,826032,0.065231,0.826032
2020-04-02,68094,878064,0.068094,0.878064
2020-04-03,71017,936965,0.071017,0.936965
2020-04-04,73119,997750,0.073119,0.99775
2020-04-05,74926,1156147,0.074926,1.156147
2020-04-06,77945,1215918,0.077945,1.215918
2020-04-07,80603,1270569,0.080603,1.270569
2020-04-08,83292,1330937,0.083292,1.330937
2020-04-09,85636,1394508,0.085636,1.394508
2020-04-10,87955,1464118,0.087955,1.464118
2020-04-11,89860,1536804,0.08986,1.536804
2020-04-12,91340,1680216,0.09134,1.680216
2020-04-13,93847,1744528,0.093847,1.744528
2020-04-14,96203,1802186,0.096203,1.802186
2020-04-15,98416,1859327,0.098416,1.859327
2020-04-16,100510,1921788,0.10051,1.921788
2020-04-17,102589,1988800,0.102589,1.9888
2020-04-18,104039,2062757,0.104039,2.062757
2020-04-19,105163,2187011,0.105163,2.187011
2020-04-20,107458,2253371,0.107458,2.253371
2020-04-21,109382,2317957,0.109382,2.317957
2020-04-22,111250,2383208,0.11125,2.383208
2020-04-23,112977,2450076,0.112977,2.450076
2020-04-24,114653,2522545,0.114653,2.522545
2020-04-25,115786,2611690,0.115786,2.61169
2020-04-26,116789,2726997,0.116789,2.726997
2020-04-27,118691,2803027,0.118691,2.803027
2020-04-28,120260,2868265,0.12026,2.868265
2020-04-29,121942,2933366,0.121942,2.933366
2020-04-30,123636,3003992,0.123636,3.003992
2020-05-01,125288,3079949,0.125288,3.079949
2020-05-02,126310,3163680,0.12631,3.16368
2020-05-03,127152,3272423,0.127152,3.272423
2020-05-04,128818,3349996,0.128818,3.349996
2020-05-05,130284,3426367,0.130284,3.426367
2020-05-06,131544,3498958,0.131544,3.498958
2020-05-07,132910,3576474,0.13291,3.576474
2020-05-08,134148,3661300,0.134148,3.6613
2020-05-09,135091,3750269,0.135091,3.750269
2020-05-10,135816,3857592,0.135816,3.857592
2020-05-11,137189,3943298,0.137189,3.943298
2020-05-12,138408,4013632,0.138408,4.013632
2020-05-13,139621,4089563,0.139621,4.089563
2020-05-14,141025,4172457,0.141025,4.172457
2020-05-15,142382,4256302,0.142382,4.256302
2020-05-16,143094,4355117,0.143094,4.355117
2020-05-17,143767,4467858,0.143767,4.467858
2020-05-18,145222,4561554,0.145222,4.561554
2020-05-19,146557,4638198,0.146557,4.638198
2020-05-20,147622,4729899,0.147622,4.729899
2020-05-21,148696,4830131,0.148696,4.830131
2020-05-22,149814,4935501,0.149814,4.935501
2020-05-23,150416,5039382,0.150416,5.039382
2020-05-24,150974,5164240,0.150974,5.16424
2020-05-25,151851,5259715,0.151851,5.259715
2020-05-26,152883,5350801,0.152883,5.350801
2020-05-27,153928,5437910,0.153928,5.43791
2020-05-28,154741,5534355,0.154741,5.534355
2020-05-29,155526,5639852,0.155526,5.639852
2020-05-30,156085,5757693,0.156085,5.757693
2020-05-31,156539,5892810,0.156539,5.89281
2020-06-01,157625,6017894,0.157625,6.017894
2020-06-02,158661,6125006,0.158661,6.125006
2020-06-03,159599,6221786,0.159599,6.221786
2020-06-04,160534,6343365,0.160534,6.343365
2020-06-05,161460,6467371,0.16146,6.467371
2020-06-06,162016,6591914,0.162016,6.591914
2020-06-07,162626,6736715,0.162626,6.736715
2020-06-08,163883,6859964,0.163883,6.859964
2020-06-09,165015,6967710,0.165015,6.96771
2020-06-10,166143,7074217,0.166143,7.074217
2020-06-11,167527,7203191,0.167527,7.203191
2020-06-12,168776,7341288,0.168776,7.341288
2020-06-13,169790,7480360,0.16979,7.48036
2020-06-14,170634,7638074,0.170634,7.638074
2020-06-15,172250,7768275,0.17225,7.768275
2020-06-16,174345,7884796,0.174345,7.884796
2020-06-17,175786,8005525,0.175786,8.005525
2020-06-18,177338,8184946,0.177338,8.184946
2020-06-19,179012,8329396,0.179012,8.329396
2020-06-20,180092,8469414,0.180092,8.469414
2020-06-21,181076,8667058,0.181076,8.667058
2020-06-22,182450,8819366,0.18245,8.819366
2020-06-23,183987,8947411,0.183987,8.947411
2020-06-24,185604,9085655,0.185604,9.085655
2020-06-25,187029,9255736,0.187029,9.255736
2020-06-26,188361,9432272,0.188361,9.432272
2020-06-27,189161,9614495,0.189161,9.614495
