AccessionID,reason,collection_date,lineage
EPI_ISL_10125580,wastewater_or_cell_passaged,2020-07-01,B.1.1.50
EPI_ISL_10189535,wastewater_or_cell_passaged,2021-07-16,B.1.1.7
EPI_ISL_10189542,wastewater_or_cell_passaged,2021-04-22,B.1.351
EPI_ISL_10189545,wastewater_or_cell_passaged,2021-04-22,P.1
EPI_ISL_10189547,wastewater_or_cell_passaged,2021-08-17,AY.69
EPI_ISL_10189661,wastewater_or_cell_passaged,2020-08-08,B.1
EPI_ISL_10201350,wastewater_or_cell_passaged,2020-04-03,B.1.1
EPI_ISL_10201351,wastewater_or_cell_passaged,2021-02-25,B.1.351
EPI_ISL_10201352,wastewater_or_cell_passaged,2021-06-11,B.1.351
EPI_ISL_10201353,wastewater_or_cell_passaged,2021-06-11,B.1.351
EPI_ISL_10201354,wastewater_or_cell_passaged,2021-06-11,B.1.351
EPI_ISL_10201358,wastewater_or_cell_passaged,2021-02-26,B.1.1
EPI_ISL_10201363,wastewater_or_cell_passaged,2021-03-26,P.1
EPI_ISL_10201364,wastewater_or_cell_passaged,2021-04-19,P.1
EPI_ISL_10201365,wastewater_or_cell_passaged,2021-06-11,P.1
EPI_ISL_10201366,wastewater_or_cell_passaged,2021-06-11,P.1
EPI_ISL_10201367,wastewater_or_cell_passaged,2021-06-11,P.1
EPI_ISL_10201369,wastewater_or_cell_passaged,2021-06-11,B.1.1.7
EPI_ISL_10201370,wastewater_or_cell_passaged,2021-06-11,B.1.1.7
EPI_ISL_10201371,wastewater_or_cell_passaged,2021-06-11,B.1.1.7
EPI_ISL_10201372,wastewater_or_cell_passaged,2021-03-26,B.1.1.7
EPI_ISL_10316331,wastewater_or_cell_passaged,2021-07-02,B.1.617.2
EPI_ISL_10334101,wastewater_or_cell_passaged,2021-09-07,AY.29
EPI_ISL_10334102,wastewater_or_cell_passaged,2021-09-07,AY.29
EPI_ISL_10334103,wastewater_or_cell_passaged,2021-09-08,AY.29
EPI_ISL_10334104,wastewater_or_cell_passaged,2021-09-08,AY.29
EPI_ISL_10334105,wastewater_or_cell_passaged,2021-09-08,AY.29
EPI_ISL_10334106,wastewater_or_cell_passaged,2021-09-07,AY.29
EPI_ISL_10334107,wastewater_or_cell_passaged,2021-09-10,AY.29
EPI_ISL_10334108,wastewater_or_cell_passaged,2021-09-13,AY.29
EPI_ISL_10334109,wastewater_or_cell_passaged,2021-09-12,AY.29
EPI_ISL_10334110,wastewater_or_cell_passaged,2021-09-13,AY.29
EPI_ISL_10334111,wastewater_or_cell_passaged,2021-09-13,AY.29
EPI_ISL_10334112,wastewater_or_cell_passaged,2021-09-14,AY.29
EPI_ISL_10334113,wastewater_or_cell_passaged,2021-09-15,B.1.617.2
EPI_ISL_10334114,wastewater_or_cell_passaged,2021-09-19,AY.29
EPI_ISL_10334115,wastewater_or_cell_passaged,2021-09-20,AY.29
EPI_ISL_10334116,wastewater_or_cell_passaged,2021-09-26,AY.29
EPI_ISL_10334117,wastewater_or_cell_passaged,2021-09-26,AY.29
EPI_ISL_10334118,wastewater_or_cell_passaged,2021-09-25,AY.29
EPI_ISL_10334119,wastewater_or_cell_passaged,2021-09-29,AY.29
EPI_ISL_10334120,wastewater_or_cell_passaged,2021-09-16,AY.29
EPI_ISL_10334121,wastewater_or_cell_passaged,2021-09-29,AY.29
EPI_ISL_10334122,wastewater_or_cell_passaged,2021-09-10,AY.29
EPI_ISL_10338307,wastewater_or_cell_passaged,2020-03-30,B.1
EPI_ISL_10397629,wastewater_or_cell_passaged,2020-03-25,B.1.1
EPI_ISL_10397630,wastewater_or_cell_passaged,2020-03-31,B.1.1
EPI_ISL_10397631,wastewater_or_cell_passaged,2020-04-02,B.1.1
EPI_ISL_10397632,wastewater_or_cell_passaged,2020-04-12,B.1.1
EPI_ISL_10397633,wastewater_or_cell_passaged,2020-04-12,B.1.1
EPI_ISL_10397634,wastewater_or_cell_passaged,2020-04-12,B.1.1
EPI_ISL_10397635,wastewater_or_cell_passaged,2020-04-13,B.1.1
EPI_ISL_10397636,wastewater_or_cell_passaged,2020-04-13,B.1.1
EPI_ISL_10397637,wastewater_or_cell_passaged,2020-04-13,B.1.1
EPI_ISL_10397638,wastewater_or_cell_passaged,2020-04-13,B.1.1
EPI_ISL_10397639,wastewater_or_cell_passaged,2020-04-13,B.1.1
EPI_ISL_10397640,wastewater_or_cell_passaged,2020-04-13,B.1.1
EPI_ISL_10397641,wastewater_or_cell_passaged,2020-04-14,B.1.1
EPI_ISL_10397642,wastewater_or_cell_passaged,2020-04-14,B.1.1
EPI_ISL_10397643,wastewater_or_cell_passaged,2020-04-14,B.1.1
EPI_ISL_10397644,wastewater_or_cell_passaged,2020-04-14,B.1.1
EPI_ISL_10397645,wastewater_or_cell_passaged,2020-04-14,B.1.1
EPI_ISL_10397646,wastewater_or_cell_passaged,2020-04-14,B.1.1
EPI_ISL_10397647,wastewater_or_cell_passaged,2020-04-17,B.1.1
EPI_ISL_10397648,wastewater_or_cell_passaged,2020-04-17,B.1.1
EPI_ISL_10397649,wastewater_or_cell_passaged,2020-04-17,B.1.1
EPI_ISL_10397650,wastewater_or_cell_passaged,2020-04-18,B.1.1
EPI_ISL_10397651,wastewater_or_cell_passaged,2020-04-20,B.1.1
EPI_ISL_10397652,wastewater_or_cell_passaged,2020-04-22,B.1.1
EPI_ISL_10397653,wastewater_or_cell_passaged,2020-04-25,B.1.1
EPI_ISL_10431155,wastewater_or_cell_passaged,2020-03-30,B.1.1
EPI_ISL_10431200,wastewater_or_cell_passaged,2020-03-30,B.1
EPI_ISL_10434280,wastewater_or_cell_passaged,2020-12-11,B.1.1.214
EPI_ISL_10445340,wastewater_or_cell_passaged,2021-05-21,B.1.621
EPI_ISL_10640380,wastewater_or_cell_passaged,2021-07-06,P.1
EPI_ISL_10819657,wastewater_or_cell_passaged,2022-01-31,XD
EPI_ISL_10844420,wastewater_or_cell_passaged,2021-03-11,B.1.1.7
EPI_ISL_10844545,wastewater_or_cell_passaged,2021-10-05,AY.126
EPI_ISL_10957348,wastewater_or_cell_passaged,2020-12-02,B.1.346
EPI_ISL_10957349,wastewater_or_cell_passaged,2020-12-11,B.1.1.214
EPI_ISL_10957350,wastewater_or_cell_passaged,2020-12-14,B.1.1.214
EPI_ISL_10957351,wastewater_or_cell_passaged,2020-12-21,B.1.1.214
EPI_ISL_10957352,wastewater_or_cell_passaged,2020-12-22,B.1.1.214
EPI_ISL_10957353,wastewater_or_cell_passaged,2020-12-28,B.1.1.284
EPI_ISL_10957354,wastewater_or_cell_passaged,2021-01-29,B.1.1.214
EPI_ISL_10957355,wastewater_or_cell_passaged,2021-04-19,R.1
EPI_ISL_10957356,wastewater_or_cell_passaged,2021-04-21,B.1.1.7
EPI_ISL_10957357,wastewater_or_cell_passaged,2020-11-18,B.1.1.214
EPI_ISL_10957358,wastewater_or_cell_passaged,2020-11-19,B.1.1.284
EPI_ISL_10957359,wastewater_or_cell_passaged,2020-11-20,B.1.1.214
EPI_ISL_10957360,wastewater_or_cell_passaged,2020-11-22,B.1.1.214
EPI_ISL_10957361,wastewater_or_cell_passaged,2020-11-22,B.1.1.214
EPI_ISL_10957362,wastewater_or_cell_passaged,2020-11-22,B.1.1.214
EPI_ISL_10957363,wastewater_or_cell_passaged,2020-11-23,B.1.1.214
EPI_ISL_10957364,wastewater_or_cell_passaged,2020-11-25,B.1.1.214
EPI_ISL_10957365,wastewater_or_cell_passaged,2020-11-25,B.1.1.214
EPI_ISL_10957366,wastewater_or_cell_passaged,2020-11-27,B.1.1.214
EPI_ISL_10957367,wastewater_or_cell_passaged,2020-08-01,B.1.1.284
EPI_ISL_10957368,wastewater_or_cell_passaged,2020-08-03,B.1.1.284
EPI_ISL_10957369,wastewater_or_cell_passaged,2020-08-04,B.1.1.284
EPI_ISL_10957370,wastewater_or_cell_passaged,2020-08-04,B.1.1.284
EPI_ISL_10957371,wastewater_or_cell_passaged,2020-08-05,B.1.1.284
EPI_ISL_10957372,wastewater_or_cell_passaged,2020-08-08,B.1.1.284
EPI_ISL_10957373,wastewater_or_cell_passaged,2020-08-11,B.1.1.284
EPI_ISL_10957374,wastewater_or_cell_passaged,2020-08-19,B.1.1.284
EPI_ISL_10957375,wastewater_or_cell_passaged,2020-08-26,B.1.1.284
EPI_ISL_10957376,wastewater_or_cell_passaged,2020-09-07,B.1.1.284
EPI_ISL_10957377,wastewater_or_cell_passaged,2020-07-19,B.1.1.284
EPI_ISL_10957378,wastewater_or_cell_passaged,2020-07-20,B.1.1.284
EPI_ISL_10957379,wastewater_or_cell_passaged,2020-07-21,B.1.1.284
EPI_ISL_10957380,wastewater_or_cell_passaged,2020-07-21,B.1.1.284
EPI_ISL_10957381,wastewater_or_cell_passaged,2020-07-21,B.1.1.284
EPI_ISL_10957382,wastewater_or_cell_passaged,2020-07-21,B.1.1.284
EPI_ISL_10957383,wastewater_or_cell_passaged,2020-07-22,B.1.1.284
EPI_ISL_10957384,wastewater_or_cell_passaged,2020-07-22,B.1.1.284
EPI_ISL_10957385,wastewater_or_cell_passaged,2020-07-22,B.1.1.284
EPI_ISL_10957386,wastewater_or_cell_passaged,2020-07-22,B.1.1.284
EPI_ISL_10957387,wastewater_or_cell_passaged,2020-11-26,B.1.1.214
EPI_ISL_10957388,wastewater_or_cell_passaged,2020-11-29,B.1.1.214
EPI_ISL_10957389,wastewater_or_cell_passaged,2020-11-29,B.1.1.214
EPI_ISL_10957390,wastewater_or_cell_passaged,2020-11-30,B.1.1.214
EPI_ISL_10957391,wastewater_or_cell_passaged,2020-11-25,B.1.1.214
EPI_ISL_10957392,wastewater_or_cell_passaged,2020-12-14,B.1.1.214
EPI_ISL_10957393,wastewater_or_cell_passaged,2020-12-18,B.1.1.214
EPI_ISL_10957394,wastewater_or_cell_passaged,2020-12-20,B.1.1.214
EPI_ISL_10957395,wastewater_or_cell_passaged,2020-12-20,B.1.1.214
EPI_ISL_10957396,wastewater_or_cell_passaged,2020-12-21,B.1.1.214
EPI_ISL_10957397,wastewater_or_cell_passaged,2020-04-27,B.1.1
EPI_ISL_10957398,wastewater_or_cell_passaged,2020-05-02,B.1.1
EPI_ISL_10957399,wastewater_or_cell_passaged,2020-06-30,B.1.1.284
EPI_ISL_10957400,wastewater_or_cell_passaged,2020-07-09,B.1.1.214
EPI_ISL_10957401,wastewater_or_cell_passaged,2020-07-10,B.1.1.214
EPI_ISL_10957402,wastewater_or_cell_passaged,2020-07-11,B.1.1.284
EPI_ISL_10957403,wastewater_or_cell_passaged,2020-07-12,B.1.1.284
EPI_ISL_10957404,wastewater_or_cell_passaged,2020-07-13,B.1.1.284
EPI_ISL_10957405,wastewater_or_cell_passaged,2020-07-16,B.1.1.284
EPI_ISL_10957406,wastewater_or_cell_passaged,2020-07-16,B.1.1.284
EPI_ISL_10957407,wastewater_or_cell_passaged,2020-07-23,B.1.1.284
EPI_ISL_10957408,wastewater_or_cell_passaged,2020-07-23,B.1.1.284
EPI_ISL_10957409,wastewater_or_cell_passaged,2020-07-24,B.1.1.284
EPI_ISL_10957410,wastewater_or_cell_passaged,2020-07-25,B.1.1.284
EPI_ISL_10957411,wastewater_or_cell_passaged,2020-07-26,B.1.1.284
EPI_ISL_10957412,wastewater_or_cell_passaged,2020-07-27,B.1.1.284
EPI_ISL_10957413,wastewater_or_cell_passaged,2020-07-27,B.1.1.284
EPI_ISL_10957414,wastewater_or_cell_passaged,2020-07-27,B.1.1.284
EPI_ISL_10957415,wastewater_or_cell_passaged,2020-07-27,B.1.1.284
EPI_ISL_10957416,wastewater_or_cell_passaged,2020-07-28,B.1.1.284
EPI_ISL_10957417,wastewater_or_cell_passaged,2020-09-12,B.1.1.214
EPI_ISL_10957418,wastewater_or_cell_passaged,2020-09-21,B.1.1.284
EPI_ISL_10957419,wastewater_or_cell_passaged,2020-09-23,B.1.1.284
EPI_ISL_10957420,wastewater_or_cell_passaged,2020-09-21,B.1.1.284
EPI_ISL_10957421,wastewater_or_cell_passaged,2020-10-02,B.1.1.214
EPI_ISL_10957422,wastewater_or_cell_passaged,2020-10-06,B.1.1.214
EPI_ISL_10957423,wastewater_or_cell_passaged,2020-10-22,B.1.1.214
EPI_ISL_10957424,wastewater_or_cell_passaged,2020-07-27,B.1.1.284
EPI_ISL_10957425,wastewater_or_cell_passaged,2020-07-30,B.1.1.284
EPI_ISL_10957426,wastewater_or_cell_passaged,2020-08-05,B.1.1.284
EPI_ISL_10957427,wastewater_or_cell_passaged,2020-10-27,B.1.1.214
EPI_ISL_10957428,wastewater_or_cell_passaged,2020-09-20,B.1.1.284
EPI_ISL_10957429,wastewater_or_cell_passaged,2020-11-04,B.1.1.214
EPI_ISL_10957430,wastewater_or_cell_passaged,2020-11-06,B.1.1.214
EPI_ISL_10957431,wastewater_or_cell_passaged,2020-11-02,B.1.1.214
EPI_ISL_10957432,wastewater_or_cell_passaged,2020-11-13,B.1.1.214
EPI_ISL_10957433,wastewater_or_cell_passaged,2020-11-13,B.1.1.284
EPI_ISL_10957434,wastewater_or_cell_passaged,2020-11-14,B.1.1.214
EPI_ISL_10957435,wastewater_or_cell_passaged,2020-11-16,B.1.1.214
EPI_ISL_10957436,wastewater_or_cell_passaged,2020-12-21,B.1.1.214
EPI_ISL_10957437,wastewater_or_cell_passaged,2020-12-25,B.1.1.214
EPI_ISL_10957438,wastewater_or_cell_passaged,2021-01-02,B.1.1.214
EPI_ISL_10957439,wastewater_or_cell_passaged,2021-01-02,B.1.1.214
EPI_ISL_10957440,wastewater_or_cell_passaged,2020-07-28,B.1.1.284
EPI_ISL_10957441,wastewater_or_cell_passaged,2020-07-29,B.1.1.284
EPI_ISL_10957442,wastewater_or_cell_passaged,2020-07-29,B.1.1.214
EPI_ISL_10957443,wastewater_or_cell_passaged,2020-07-29,B.1.1.284
EPI_ISL_10957444,wastewater_or_cell_passaged,2020-07-29,B.1.1.284
EPI_ISL_10957445,wastewater_or_cell_passaged,2020-07-30,B.1.1.214
EPI_ISL_10957446,wastewater_or_cell_passaged,2020-07-30,B.1.1.284
EPI_ISL_10957447,wastewater_or_cell_passaged,2020-07-31,B.1.1.284
EPI_ISL_10957448,wastewater_or_cell_passaged,2020-07-31,B.1.1.284
EPI_ISL_10957449,wastewater_or_cell_passaged,2020-08-01,B.1.1.284
